loc1,ref1,obj1,ctg1,ang1,loc2,ref2,obj2,ctg2,ang2,loc3,ref3,obj3,ctg3,ang3,tc
1,3,1,0,1,1,7,3,1,1,1,3,1,0,1,11_13_11
0,2,1,0,0,1,5,2,1,1,0,5,2,1,1,01_12_02
0,6,3,1,0,0,2,1,0,0,1,0,0,0,0,03_01_10
0,6,3,1,0,0,0,0,0,0,1,5,2,1,1,03_00_12
0,3,1,0,1,1,5,2,1,1,1,1,0,0,1,01_12_10
1,0,0,0,0,1,7,3,1,1,0,3,1,0,1,10_13_01
0,5,2,1,1,1,6,3,1,0,1,5,2,1,1,02_13_12
1,0,0,0,0,0,7,3,1,1,0,5,2,1,1,10_03_02
1,6,3,1,0,1,1,0,0,1,1,0,0,0,0,13_10_10
0,7,3,1,1,0,4,2,1,0,0,2,1,0,0,03_02_01
0,2,1,0,0,0,3,1,0,1,1,0,0,0,0,01_01_10
0,6,3,1,0,0,1,0,0,1,1,7,3,1,1,03_00_13
1,5,2,1,1,0,4,2,1,0,0,7,3,1,1,12_02_03
1,6,3,1,0,1,7,3,1,1,0,4,2,1,0,13_13_02
0,0,0,0,0,0,6,3,1,0,0,2,1,0,0,00_03_01
