loc1,ref1,obj1,ctg1,ang1,loc2,ref2,obj2,ctg2,ang2,loc3,ref3,obj3,ctg3,ang3,loc4,ref4,obj4,ctg4,ang4,loc5,ref5,obj5,ctg5,ang5,tc
1,2,1,0,0,1,6,3,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,11_13_10_00_00
0,7,3,1,1,0,0,0,0,0,0,2,1,0,0,0,5,2,1,1,0,7,3,1,1,03_00_01_02_03
1,0,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,12_01_10_11_10
0,1,0,0,1,0,1,0,0,1,0,7,3,1,1,0,5,2,1,1,1,2,1,0,0,00_00_03_02_11
1,7,3,1,1,1,4,2,1,0,1,4,2,1,0,0,2,1,0,0,0,3,1,0,1,13_12_12_01_01
1,6,3,1,0,1,0,0,0,0,0,6,3,1,0,0,7,3,1,1,1,7,3,1,1,13_10_03_03_13
0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,6,3,1,0,00_10_00_01_03
0,2,1,0,0,0,2,1,0,0,0,5,2,1,1,1,3,1,0,1,0,4,2,1,0,01_01_02_11_02
1,5,2,1,1,0,6,3,1,0,0,4,2,1,0,1,4,2,1,0,1,3,1,0,1,12_03_02_12_11
0,5,2,1,1,0,2,1,0,0,0,4,2,1,0,0,2,1,0,0,0,5,2,1,1,02_01_02_01_02
