loc1,ref1,obj1,ctg1,ang1,loc2,ref2,obj2,ctg2,ang2,loc3,ref3,obj3,ctg3,ang3,loc4,ref4,obj4,ctg4,ang4,loc5,ref5,obj5,ctg5,ang5,loc6,ref6,obj6,ctg6,ang6,tc_nodes,tc_pairs
0,6,3,1,0,1,0,0,0,0,0,6,3,1,0,1,2,1,0,0,0,7,3,1,1,1,5,2,1,1,03_10_03_11_03_12,"03_10,10_03,03_11,11_03,03_12"
1,5,2,1,1,0,3,1,0,1,1,7,3,1,1,0,5,2,1,1,0,5,2,1,1,0,6,3,1,0,12_01_13_02_02_03,"12_01,01_13,13_02,02_02,02_03"
0,3,1,0,1,1,1,0,0,1,0,3,1,0,1,1,2,1,0,0,0,2,1,0,0,1,5,2,1,1,01_10_01_11_01_12,"01_10,10_01,01_11,11_01,01_12"
0,0,0,0,0,0,7,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,0,1,00_03_00_10_00_11,"00_03,03_00,00_10,10_00,00_11"
0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,5,2,1,1,0,0,0,0,0,00_00_01_00_02_00,"00_00,00_01,01_00,00_02,02_00"
0,3,1,0,1,0,2,1,0,0,0,4,2,1,0,0,3,1,0,1,0,6,3,1,0,0,3,1,0,1,01_01_02_01_03_01,"01_01,01_02,02_01,01_03,03_01"
1,2,1,0,0,0,1,0,0,1,1,4,2,1,0,0,0,0,0,0,1,6,3,1,0,0,2,1,0,0,11_00_12_00_13_01,"11_00,00_12,12_00,00_13,13_01"
1,4,2,1,0,0,6,3,1,0,1,7,3,1,1,1,0,0,0,0,1,0,0,0,0,1,2,1,0,0,12_03_13_10_10_11,"12_03,03_13,13_10,10_10,10_11"
0,7,3,1,1,0,4,2,1,0,1,1,0,0,1,0,4,2,1,0,1,3,1,0,1,0,4,2,1,0,03_02_10_02_11_02,"03_02,02_10,10_02,02_11,11_02"
0,5,2,1,1,1,5,2,1,1,0,4,2,1,0,1,6,3,1,0,0,7,3,1,1,0,7,3,1,1,02_12_02_13_03_03,"02_12,12_02,02_13,13_03,03_03"
