loc1,ref1,obj1,ctg1,ang1,loc2,ref2,obj2,ctg2,ang2,loc3,ref3,obj3,ctg3,ang3,loc4,ref4,obj4,ctg4,ang4,loc5,ref5,obj5,ctg5,ang5,tc
0,0,2,1,0,1,0,1,0,0,1,0,3,1,0,0,0,0,0,0,1,0,2,1,0,02_11_13_00_12
0,0,3,1,0,1,0,3,1,0,1,0,2,1,0,0,0,3,1,0,0,0,3,1,0,03_13_12_03_03
1,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,3,1,0,11_00_12_01_03
0,0,2,1,0,1,0,3,1,0,1,0,1,0,0,0,0,2,1,0,1,0,0,0,0,02_13_11_02_10
0,0,1,0,0,0,0,3,1,0,0,0,2,1,0,0,0,0,0,0,1,0,2,1,0,01_03_02_00_12
1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3,1,0,0,0,0,0,0,10_01_01_13_00
1,0,0,0,0,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,10_13_00_10_03
1,0,2,1,0,0,0,3,1,0,1,0,3,1,0,0,0,2,1,0,1,0,1,0,0,12_03_13_02_11
0,0,3,1,0,1,0,3,1,0,1,0,1,0,0,1,0,3,1,0,0,0,3,1,0,03_13_11_13_03
0,0,2,1,0,1,0,3,1,0,1,0,0,0,0,0,0,3,1,0,1,0,0,0,0,02_13_10_03_10
