loc1,ref1,obj1,ctg1,ang1,loc2,ref2,obj2,ctg2,ang2,loc3,ref3,obj3,ctg3,ang3,loc4,ref4,obj4,ctg4,ang4,loc5,ref5,obj5,ctg5,ang5,tc
1,3,1,0,1,0,3,1,0,1,0,2,1,0,0,0,3,1,0,1,1,0,0,0,0,11_01_01_01_10
0,0,0,0,0,0,3,1,0,1,0,7,3,1,1,0,2,1,0,0,1,6,3,1,0,00_01_03_01_13
0,7,3,1,1,0,4,2,1,0,1,6,3,1,0,0,5,2,1,1,0,0,0,0,0,03_02_13_02_00
0,3,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,4,2,1,0,01_00_00_00_12
0,1,0,0,1,1,0,0,0,0,1,5,2,1,1,0,5,2,1,1,1,2,1,0,0,00_10_12_02_11
1,1,0,0,1,0,3,1,0,1,1,7,3,1,1,1,4,2,1,0,0,6,3,1,0,10_01_13_12_03
0,3,1,0,1,1,6,3,1,0,1,7,3,1,1,1,7,3,1,1,1,0,0,0,0,01_13_13_13_10
1,6,3,1,0,0,7,3,1,1,0,3,1,0,1,0,1,0,0,1,1,7,3,1,1,13_03_01_00_13
1,6,3,1,0,0,0,0,0,0,1,4,2,1,0,1,5,2,1,1,1,7,3,1,1,13_00_12_12_13
0,2,1,0,0,1,2,1,0,0,1,7,3,1,1,0,2,1,0,0,1,6,3,1,0,01_11_13_01_13
