loc1,ref1,obj1,ctg1,ang1,loc2,ref2,obj2,ctg2,ang2,loc3,ref3,obj3,ctg3,ang3,loc4,ref4,obj4,ctg4,ang4,loc5,ref5,obj5,ctg5,ang5,tc
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,1,0,0,01_00_00_03_11
1,0,3,1,0,1,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3,1,0,13_12_10_01_03
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,01_10_00_01_00
1,0,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3,1,0,0,0,1,0,0,13_01_10_03_01
1,0,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,13_01_01_11_10
1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,10_00_02_00_00
1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,11_00_01_01_02
1,0,2,1,0,0,0,1,0,0,1,0,2,1,0,1,0,0,0,0,1,0,2,1,0,12_01_12_10_12
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,00_00_10_01_10
0,0,0,0,0,1,0,3,1,0,1,0,2,1,0,0,0,2,1,0,1,0,1,0,0,00_13_12_02_11
