loc1,ref1,obj1,ctg1,ang1,loc2,ref2,obj2,ctg2,ang2,loc3,ref3,obj3,ctg3,ang3,tc
0,3,1,0,1,0,1,0,0,1,0,0,0,0,0,01_00_00
1,1,0,0,1,1,1,0,0,1,0,3,1,0,1,10_10_01
1,3,1,0,1,1,7,3,1,1,1,3,1,0,1,11_13_11
0,4,2,1,0,1,4,2,1,0,0,7,3,1,1,02_12_03
0,4,2,1,0,0,0,0,0,0,0,7,3,1,1,02_00_03
0,2,1,0,0,0,3,1,0,1,1,0,0,0,0,01_01_10
1,2,1,0,0,0,3,1,0,1,0,3,1,0,1,11_01_01
0,2,1,0,0,0,7,3,1,1,0,5,2,1,1,01_03_02
1,5,2,1,1,0,4,2,1,0,0,7,3,1,1,12_02_03
0,1,0,0,1,0,5,2,1,1,0,4,2,1,0,00_02_02
0,6,3,1,0,0,0,0,0,0,1,5,2,1,1,03_00_12
1,0,0,0,0,0,7,3,1,1,0,5,2,1,1,10_03_02
1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,10_10_00
0,6,3,1,0,0,2,1,0,0,1,0,0,0,0,03_01_10
1,6,3,1,0,1,7,3,1,1,0,4,2,1,0,13_13_02
1,2,1,0,0,1,7,3,1,1,0,5,2,1,1,11_13_02
0,6,3,1,0,0,1,0,0,1,1,7,3,1,1,03_00_13
1,6,3,1,0,1,1,0,0,1,1,0,0,0,0,13_10_10
0,7,3,1,1,0,7,3,1,1,1,2,1,0,0,03_03_11
1,3,1,0,1,0,3,1,0,1,1,0,0,0,0,11_01_10
1,5,2,1,1,1,6,3,1,0,1,4,2,1,0,12_13_12
0,2,1,0,0,1,4,2,1,0,1,7,3,1,1,01_12_13
0,7,3,1,1,0,4,2,1,0,0,2,1,0,0,03_02_01
0,0,0,0,0,0,6,3,1,0,0,2,1,0,0,00_03_01
1,0,0,0,0,1,7,3,1,1,0,3,1,0,1,10_13_01
0,0,0,0,0,0,2,1,0,0,1,7,3,1,1,00_01_13
0,3,1,0,1,1,5,2,1,1,1,1,0,0,1,01_12_10
0,5,2,1,1,1,6,3,1,0,1,5,2,1,1,02_13_12
0,2,1,0,0,1,5,2,1,1,0,5,2,1,1,01_12_02
0,2,1,0,0,0,4,2,1,0,1,0,0,0,0,01_02_10
