loc1,ref1,obj1,ctg1,ang1,loc2,ref2,obj2,ctg2,ang2,loc3,ref3,obj3,ctg3,ang3,loc4,ref4,obj4,ctg4,ang4,loc5,ref5,obj5,ctg5,ang5,loc6,ref6,obj6,ctg6,ang6,tc_nodes,tc_pairs
0,3,1,0,1,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,7,3,1,1,0,1,0,0,1,01_00_02_00_03_00,"01_00,00_02,02_00,00_03,03_00"
0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,2,1,0,0,0,0,0,0,0,1,4,2,1,0,00_10_00_11_00_12,"00_10,10_00,00_11,11_00,00_12"
1,4,2,1,0,0,1,0,0,1,1,6,3,1,0,0,2,1,0,0,0,2,1,0,0,0,5,2,1,1,12_00_13_01_01_02,"12_00,00_13,13_01,01_01,01_02"
0,5,2,1,1,0,3,1,0,1,0,6,3,1,0,0,3,1,0,1,1,1,0,0,1,0,2,1,0,0,02_01_03_01_10_01,"02_01,01_03,03_01,01_10,10_01"
0,2,1,0,0,1,3,1,0,1,0,2,1,0,0,1,4,2,1,0,0,3,1,0,1,1,7,3,1,1,01_11_01_12_01_13,"01_11,11_01,01_12,12_01,01_13"
1,6,3,1,0,0,5,2,1,1,0,4,2,1,0,0,7,3,1,1,0,4,2,1,0,1,0,0,0,0,13_02_02_03_02_10,"13_02,02_02,02_03,03_02,02_10"
1,0,0,0,0,0,4,2,1,0,1,2,1,0,0,0,5,2,1,1,1,4,2,1,0,0,5,2,1,1,10_02_11_02_12_02,"10_02,02_11,11_02,02_12,12_02"
0,4,2,1,0,1,7,3,1,1,0,7,3,1,1,0,6,3,1,0,1,0,0,0,0,0,6,3,1,0,02_13_03_03_10_03,"02_13,13_03,03_03,03_10,10_03"
0,6,3,1,0,1,2,1,0,0,0,6,3,1,0,1,4,2,1,0,0,6,3,1,0,1,6,3,1,0,03_11_03_12_03_13,"03_11,11_03,03_12,12_03,03_13"
1,6,3,1,0,1,0,0,0,0,1,0,0,0,0,1,3,1,0,1,1,1,0,0,1,1,5,2,1,1,13_10_10_11_10_12,"13_10,10_10,10_11,11_10,10_12"
