stim1,loc1,locmod1,ctgmod1,objmod1,angmod1,objlocmod1,ref1,stim2,loc2,locmod2,ctgmod2,objmod2,angmod2,objlocmod2,ref2,stim3,loc3,locmod3,ctgmod3,objmod3,angmod3,objlocmod3,ref3,action
7,0,0,1,3,1,3,7,10,1,1,0,1,0,5,2,8,1,1,0,0,0,4,0,False
2,0,0,0,1,0,1,2,3,0,0,0,1,1,1,3,9,1,1,0,0,1,4,1,False
15,1,1,1,3,1,7,7,6,0,0,1,3,0,3,6,7,0,0,1,3,1,3,7,True
12,1,1,1,2,0,6,4,8,1,1,0,0,0,4,0,4,0,0,1,2,0,2,4,False
1,0,0,0,0,1,0,1,13,1,1,1,2,1,6,5,12,1,1,1,2,0,6,4,True
0,0,0,0,0,0,0,0,9,1,1,0,0,1,4,1,1,0,0,0,0,1,0,1,True
6,0,0,1,3,0,3,6,13,1,1,1,2,1,6,5,13,1,1,1,2,1,6,5,True
4,0,0,1,2,0,2,4,13,1,1,1,2,1,6,5,13,1,1,1,2,1,6,5,True
5,0,0,1,2,1,2,5,1,0,0,0,0,1,0,1,9,1,1,0,0,1,4,1,True
8,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,10,1,1,0,1,0,5,2,False
15,1,1,1,3,1,7,7,1,0,0,0,0,1,0,1,4,0,0,1,2,0,2,4,False
8,1,1,0,0,0,4,0,11,1,1,0,1,1,5,3,12,1,1,1,2,0,6,4,False
12,1,1,1,2,0,6,4,12,1,1,1,2,0,6,4,6,0,0,1,3,0,3,6,False
2,0,0,0,1,0,1,2,9,1,1,0,0,1,4,1,9,1,1,0,0,1,4,1,True
4,0,0,1,2,0,2,4,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,False
5,0,0,1,2,1,2,5,3,0,0,0,1,1,1,3,3,0,0,0,1,1,1,3,True
9,1,1,0,0,1,4,1,14,1,1,1,3,0,7,6,15,1,1,1,3,1,7,7,True
7,0,0,1,3,1,3,7,7,0,0,1,3,1,3,7,14,1,1,1,3,0,7,6,True
4,0,0,1,2,0,2,4,7,0,0,1,3,1,3,7,5,0,0,1,2,1,2,5,False
13,1,1,1,2,1,6,5,11,1,1,0,1,1,5,3,7,0,0,1,3,1,3,7,False
