stim1,loc1,locmod1,ctgmod1,objmod1,angmod1,objlocmod1,ref1,stim2,loc2,locmod2,ctgmod2,objmod2,angmod2,objlocmod2,ref2,stim3,loc3,locmod3,ctgmod3,objmod3,angmod3,objlocmod3,ref3,action
5,0,0,1,2,1,2,5,10,1,1,0,1,0,5,2,4,0,0,1,2,0,2,4,False
8,1,1,0,0,0,4,0,1,0,0,0,0,1,0,1,4,0,0,1,2,0,2,4,False
4,0,0,1,2,0,2,4,9,1,1,0,0,1,4,1,9,1,1,0,0,1,4,1,True
15,1,1,1,3,1,7,7,14,1,1,1,3,0,7,6,14,1,1,1,3,0,7,6,True
8,1,1,0,0,0,4,0,10,1,1,0,1,0,5,2,15,1,1,1,3,1,7,7,False
1,0,0,0,0,1,0,1,2,0,0,0,1,0,1,2,13,1,1,1,2,1,6,5,False
4,0,0,1,2,0,2,4,10,1,1,0,1,0,5,2,10,1,1,0,1,0,5,2,True
0,0,0,0,0,0,0,0,5,0,0,1,2,1,2,5,7,0,0,1,3,1,3,7,True
4,0,0,1,2,0,2,4,14,1,1,1,3,0,7,6,8,1,1,0,0,0,4,0,False
9,1,1,0,0,1,4,1,6,0,0,1,3,0,3,6,4,0,0,1,2,0,2,4,True
5,0,0,1,2,1,2,5,14,1,1,1,3,0,7,6,4,0,0,1,2,0,2,4,True
4,0,0,1,2,0,2,4,13,1,1,1,2,1,6,5,2,0,0,0,1,0,1,2,False
15,1,1,1,3,1,7,7,3,0,0,0,1,1,1,3,1,0,0,0,0,1,0,1,True
15,1,1,1,3,1,7,7,14,1,1,1,3,0,7,6,0,0,0,0,0,0,0,0,False
4,0,0,1,2,0,2,4,9,1,1,0,0,1,4,1,14,1,1,1,3,0,7,6,False
14,1,1,1,3,0,7,6,8,1,1,0,0,0,4,0,13,1,1,1,2,1,6,5,False
0,0,0,0,0,0,0,0,15,1,1,1,3,1,7,7,2,0,0,0,1,0,1,2,False
11,1,1,0,1,1,5,3,5,0,0,1,2,1,2,5,5,0,0,1,2,1,2,5,True
2,0,0,0,1,0,1,2,13,1,1,1,2,1,6,5,15,1,1,1,3,1,7,7,True
9,1,1,0,0,1,4,1,12,1,1,1,2,0,6,4,15,1,1,1,3,1,7,7,True
