stim1,objmod1,locmod1,angmod1,ctgmod1,objlocmod1,ref1,stim2,objmod2,locmod2,angmod2,ctgmod2,objlocmod2,ref2,stim3,objmod3,locmod3,angmod3,ctgmod3,objlocmod3,ref3,stim4,objmod4,locmod4,angmod4,ctgmod4,objlocmod4,ref4,action1,action2
14,3,1,0,1,7,6,3,1,0,1,0,1,3,12,2,1,0,1,6,4,2,1,0,0,0,1,2,False,False
8,0,1,0,0,4,0,12,2,1,0,1,6,4,2,1,0,0,0,1,2,1,0,0,1,0,0,1,False,False
13,2,1,1,1,6,5,4,2,0,0,1,2,4,7,3,0,1,1,3,7,13,2,1,1,1,6,5,True,True
9,0,1,1,0,4,1,3,1,0,1,0,1,3,5,2,0,1,1,2,5,12,2,1,0,1,6,4,True,True
15,3,1,1,1,7,7,4,2,0,0,1,2,4,5,2,0,1,1,2,5,11,1,1,1,0,5,3,True,True
4,2,0,0,1,2,4,10,1,1,0,0,5,2,13,2,1,1,1,6,5,11,1,1,1,0,5,3,True,False
0,0,0,0,0,0,0,7,3,0,1,1,3,7,5,2,0,1,1,2,5,14,3,1,0,1,7,6,True,False
13,2,1,1,1,6,5,1,0,0,1,0,0,1,5,2,0,1,1,2,5,5,2,0,1,1,2,5,True,False
12,2,1,0,1,6,4,5,2,0,1,1,2,5,4,2,0,0,1,2,4,10,1,1,0,0,5,2,True,True
3,1,0,1,0,1,3,2,1,0,0,0,1,2,6,3,0,0,1,3,6,15,3,1,1,1,7,7,True,False
10,1,1,0,0,5,2,0,0,0,0,0,0,0,9,0,1,1,0,4,1,3,1,0,1,0,1,3,False,False
11,1,1,1,0,5,3,2,1,0,0,0,1,2,9,0,1,1,0,4,1,1,0,0,1,0,0,1,False,False
13,2,1,1,1,6,5,9,0,1,1,0,4,1,8,0,1,0,0,4,0,2,1,0,0,0,1,2,True,False
14,3,1,0,1,7,6,14,3,1,0,1,7,6,12,2,1,0,1,6,4,12,2,1,0,1,6,4,True,True
13,2,1,1,1,6,5,6,3,0,0,1,3,6,3,1,0,1,0,1,3,1,0,0,1,0,0,1,True,False
5,2,0,1,1,2,5,7,3,0,1,1,3,7,3,1,0,1,0,1,3,5,2,0,1,1,2,5,True,True
