stim1,objmod1,locmod1,angmod1,ctgmod1,objlocmod1,ref1,stim2,objmod2,locmod2,angmod2,ctgmod2,objlocmod2,ref2,stim3,objmod3,locmod3,angmod3,ctgmod3,objlocmod3,ref3,stim4,objmod4,locmod4,angmod4,ctgmod4,objlocmod4,ref4,action1,action2
1,0,0,1,0,0,1,12,2,1,0,1,6,4,10,1,1,0,0,5,2,4,2,0,0,1,2,4,False,False
11,1,1,1,0,5,3,11,1,1,1,0,5,3,10,1,1,0,0,5,2,1,0,0,1,0,0,1,True,False
1,0,0,1,0,0,1,14,3,1,0,1,7,6,10,1,1,0,0,5,2,6,3,0,0,1,3,6,False,False
8,0,1,0,0,4,0,8,0,1,0,0,4,0,7,3,0,1,1,3,7,7,3,0,1,1,3,7,False,False
2,1,0,0,0,1,2,12,2,1,0,1,6,4,10,1,1,0,0,5,2,5,2,0,1,1,2,5,False,False
3,1,0,1,0,1,3,4,2,0,0,1,2,4,3,1,0,1,0,1,3,14,3,1,0,1,7,6,False,False
14,3,1,0,1,7,6,14,3,1,0,1,7,6,7,3,0,1,1,3,7,7,3,0,1,1,3,7,True,True
11,1,1,1,0,5,3,13,2,1,1,1,6,5,6,3,0,0,1,3,6,8,0,1,0,0,4,0,False,False
0,0,0,0,0,0,0,4,2,0,0,1,2,4,5,2,0,1,1,2,5,9,0,1,1,0,4,1,True,True
9,0,1,1,0,4,1,6,3,0,0,1,3,6,11,1,1,1,0,5,3,13,2,1,1,1,6,5,False,False
2,1,0,0,0,1,2,1,0,0,1,0,0,1,6,3,0,0,1,3,6,7,3,0,1,1,3,7,False,False
7,3,0,1,1,3,7,1,0,0,1,0,0,1,4,2,0,0,1,2,4,0,0,0,0,0,0,0,False,False
14,3,1,0,1,7,6,15,3,1,1,1,7,7,10,1,1,0,0,5,2,7,3,0,1,1,3,7,False,True
11,1,1,1,0,5,3,11,1,1,1,0,5,3,2,1,0,0,0,1,2,7,3,0,1,1,3,7,True,False
8,0,1,0,0,4,0,6,3,0,0,1,3,6,12,2,1,0,1,6,4,0,0,0,0,0,0,0,False,True
10,1,1,0,0,5,2,2,1,0,0,0,1,2,3,1,0,1,0,1,3,14,3,1,0,1,7,6,True,False
