stim1,objmod1,locmod1,angmod1,ctgmod1,objlocmod1,ref1,stim2,objmod2,locmod2,angmod2,ctgmod2,objlocmod2,ref2,stim3,objmod3,locmod3,angmod3,ctgmod3,objlocmod3,ref3,stim4,objmod4,locmod4,angmod4,ctgmod4,objlocmod4,ref4,action1,action2
7,3,0,1,1,3,7,5,2,0,1,1,2,5,9,0,1,1,0,4,1,7,3,0,1,1,3,7,False,True
6,3,0,0,1,3,6,13,2,1,1,1,6,5,1,0,0,1,0,0,1,1,0,0,1,0,0,1,False,False
13,2,1,1,1,6,5,13,2,1,1,1,6,5,2,1,0,0,0,1,2,2,1,0,0,0,1,2,False,False
0,0,0,0,0,0,0,13,2,1,1,1,6,5,15,3,1,1,1,7,7,12,2,1,0,1,6,4,False,False
14,3,1,0,1,7,6,1,0,0,1,0,0,1,10,1,1,0,0,5,2,7,3,0,1,1,3,7,False,True
1,0,0,1,0,0,1,12,2,1,0,1,6,4,6,3,0,0,1,3,6,8,0,1,0,0,4,0,False,True
4,2,0,0,1,2,4,11,1,1,1,0,5,3,0,0,0,0,0,0,0,6,3,0,0,1,3,6,False,False
3,1,0,1,0,1,3,11,1,1,1,0,5,3,6,3,0,0,1,3,6,4,2,0,0,1,2,4,False,False
2,1,0,0,0,1,2,14,3,1,0,1,7,6,3,1,0,1,0,1,3,2,1,0,0,0,1,2,False,True
0,0,0,0,0,0,0,9,0,1,1,0,4,1,1,0,0,1,0,0,1,14,3,1,0,1,7,6,True,False
10,1,1,0,0,5,2,10,1,1,0,0,5,2,1,0,0,1,0,0,1,1,0,0,1,0,0,1,False,False
13,2,1,1,1,6,5,7,3,0,1,1,3,7,5,2,0,1,1,2,5,1,0,0,1,0,0,1,False,False
1,0,0,1,0,0,1,11,1,1,1,0,5,3,14,3,1,0,1,7,6,9,0,1,1,0,4,1,False,True
4,2,0,0,1,2,4,5,2,0,1,1,2,5,13,2,1,1,1,6,5,10,1,1,0,0,5,2,True,False
8,0,1,0,0,4,0,2,1,0,0,0,1,2,14,3,1,0,1,7,6,13,2,1,1,1,6,5,False,False
10,1,1,0,0,5,2,7,3,0,1,1,3,7,7,3,0,1,1,3,7,5,2,0,1,1,2,5,True,False
