stim1,loc1,locmod1,ctgmod1,objmod1,angmod1,objlocmod1,ref1,stim2,loc2,locmod2,ctgmod2,objmod2,angmod2,objlocmod2,ref2,stim3,loc3,locmod3,ctgmod3,objmod3,angmod3,objlocmod3,ref3,action
1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,15,1,1,1,3,1,7,7,False
1,0,0,0,0,1,0,1,2,0,0,0,1,0,1,2,11,1,1,0,1,1,5,3,True
1,0,0,0,0,1,0,1,5,0,0,1,2,1,2,5,4,0,0,1,2,0,2,4,True
1,0,0,0,0,1,0,1,6,0,0,1,3,0,3,6,14,1,1,1,3,0,7,6,True
0,0,0,0,0,0,0,0,9,1,1,0,0,1,4,1,7,0,0,1,3,1,3,7,False
1,0,0,0,0,1,0,1,11,1,1,0,1,1,5,3,11,1,1,0,1,1,5,3,True
1,0,0,0,0,1,0,1,13,1,1,1,2,1,6,5,12,1,1,1,2,0,6,4,True
1,0,0,0,0,1,0,1,14,1,1,1,3,0,7,6,9,1,1,0,0,1,4,1,False
2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,8,1,1,0,0,0,4,0,True
3,0,0,0,1,1,1,3,3,0,0,0,1,1,1,3,12,1,1,1,2,0,6,4,False
3,0,0,0,1,1,1,3,5,0,0,1,2,1,2,5,10,1,1,0,1,0,5,2,False
2,0,0,0,1,0,1,2,7,0,0,1,3,1,3,7,12,1,1,1,2,0,6,4,False
3,0,0,0,1,1,1,3,8,1,1,0,0,0,4,0,9,1,1,0,0,1,4,1,True
2,0,0,0,1,0,1,2,11,1,1,0,1,1,5,3,15,1,1,1,3,1,7,7,False
3,0,0,0,1,1,1,3,12,1,1,1,2,0,6,4,12,1,1,1,2,0,6,4,True
2,0,0,0,1,0,1,2,15,1,1,1,3,1,7,7,6,0,0,1,3,0,3,6,True
4,0,0,1,2,0,2,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,True
5,0,0,1,2,1,2,5,2,0,0,0,1,0,1,2,10,1,1,0,1,0,5,2,True
4,0,0,1,2,0,2,4,4,0,0,1,2,0,2,4,4,0,0,1,2,0,2,4,True
5,0,0,1,2,1,2,5,7,0,0,1,3,1,3,7,4,0,0,1,2,0,2,4,False
4,0,0,1,2,0,2,4,9,1,1,0,0,1,4,1,9,1,1,0,0,1,4,1,True
4,0,0,1,2,0,2,4,11,1,1,0,1,1,5,3,0,0,0,0,0,0,0,0,False
4,0,0,1,2,0,2,4,13,1,1,1,2,1,6,5,13,1,1,1,2,1,6,5,True
4,0,0,1,2,0,2,4,15,1,1,1,3,1,7,7,7,0,0,1,3,1,3,7,True
6,0,0,1,3,0,3,6,1,0,0,0,0,1,0,1,14,1,1,1,3,0,7,6,False
6,0,0,1,3,0,3,6,3,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,False
6,0,0,1,3,0,3,6,5,0,0,1,2,1,2,5,11,1,1,0,1,1,5,3,False
6,0,0,1,3,0,3,6,7,0,0,1,3,1,3,7,14,1,1,1,3,0,7,6,True
7,0,0,1,3,1,3,7,9,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,True
7,0,0,1,3,1,3,7,10,1,1,0,1,0,5,2,5,0,0,1,2,1,2,5,False
