TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	loc4	ref4	obj4	ctg4	ang4	loc5	ref5	obj5	ctg5	ang5	loc6	ref6	obj6	ctg6	ang6	tc_nodes	tc_pairs	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	response_1	response_1_time	all_responses_1	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2	late_responses_3	stimulus_3_onset	stimulus_3_offset	response_3	response_3_time	all_responses_3	late_responses_4	stimulus_4_onset	stimulus_4_offset	response_4	response_4_time	all_responses_4	late_responses_5	stimulus_5_onset	stimulus_5_offset	response_5	response_5_time	all_responses_5	trial_end
1	0	0	0	0	0	1	4	2	1	0	0	0	0	0	0	1	6	3	1	0	0	3	1	0	1	0	2	1	0	0	1200130101.0	00_12,12_00,00_13,13_01,01_01	1.0	0.0	[]	2.997848	4.4889593	[]	4.989583	6.479733	3	6.127595	[['3', 6.127595100086182]]	[]	9.9603	11.449295	3	11.218016	[['3', 11.218015900114551]]	[]	14.936658	16.417107	3	16.070904	[['3', 16.07090300018899]]	[]	19.898893	21.388407	3	20.83198	[['3', 20.831979000009596]]	[]	24.87291	26.358004	2	26.006044	[['2', 26.006044100038707]]	--
2	1	0	0	0	0	0	6	3	1	0	1	3	1	0	1	0	7	3	1	1	1	4	2	1	0	0	7	3	1	1	100311031203.0	10_03,03_11,11_03,03_12,12_03	1.0	1.0	[]	29.842552	31.33024	[]	31.829718	33.31924	3	33.560295	[['3', 33.56029390008189]]	[]	36.79634	38.287346	3	37.67118	[['3', 37.671179100172594]]	[]	41.774334	43.25926	3	42.484707	[['3', 42.484707600204274]]	[]	46.742767	48.229195	2	47.744766	[['2', 47.74476710008457]]	[]	51.70543	53.199276	2	52.562897	[['2', 52.56289750011638]]	--
3	1	1	0	0	1	0	3	1	0	1	1	2	1	0	0	0	3	1	0	1	1	4	2	1	0	0	2	1	0	0	100111011201.0	10_01,01_11,11_01,01_12,12_01	1.0	2.0	[]	56.682953	58.16833	[]	58.6711	60.154545	2	59.531086	[['2', 59.53108510002494]]	[]	63.644382	65.12981	2	64.41149	[['2', 64.41148800007068]]	[]	68.61274	70.09923	2	69.50883	[['2', 69.50882990006357]]	[]	73.58038	75.07143	3	74.40221	[['3', 74.40220920019783]]	[]	78.554695	80.03916	3	80.048	[['3', 80.04799880017526]]	--
4	0	6	3	1	0	1	6	3	1	0	1	0	0	0	0	1	0	0	0	0	1	3	1	0	1	1	1	0	0	1	31310101110.0	03_13,13_10,10_10,10_11,11_10	1.0	3.0	[]	83.52199	85.00436	[]	85.5162	86.999146	2	86.71386	[['2', 86.71385670010932]]	[]	90.481	91.968216	3	92.12418	[['3', 92.12418570020236]]	[]	95.454895	96.93818	2	96.72461	[['2', 96.72461130004376]]	[]	100.42155	101.90941	2	101.18862	[['2', 101.18861870002002]]	[]	105.38874	106.87878	2	106.120255	[['2', 106.12025250005536]]	--
5	0	7	3	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	1	0	0	1	30010001100.0	03_00,00_10,10_00,00_11,11_00	1.0	4.0	[]	110.363014	111.84437	[]	112.35151	113.83772	3	113.414	[['3', 113.41400250000879]]	[]	117.32447	118.80939	2	118.23462	[['2', 118.23461790010333]]	[]	122.291115	123.7789	2	122.913086	[['2', 122.91308430000208]]	[]	127.259995	128.74962	2	127.86461	[['2', 127.86461100005545]]	[]	132.23592	133.71873	2	132.93034	[['2', 132.93034930014983]]	--
6	0	4	2	1	0	1	1	0	0	1	0	4	2	1	0	1	2	1	0	0	0	4	2	1	0	1	5	2	1	1	21002110212.0	02_10,10_02,02_11,11_02,02_12	1.0	5.0	[]	137.20026	138.68881	[]	139.19418	140.67877	3	140.22266	[['3', 140.22266379999928]]	[]	144.16536	145.649	3	145.45967	[['3', 145.45967790018767]]	[]	149.1349	150.6182	3	149.96082	[['3', 149.96081960015]]	[]	154.10005	155.5895	3	155.71214	[['3', 155.712146300124]]	[]	159.07623	160.55907	2	159.83392	[['2', 159.83391700009815]]	--
7	1	5	2	1	1	0	4	2	1	0	1	6	3	1	0	0	7	3	1	1	0	6	3	1	0	1	0	0	0	0	120213030310.0	12_02,02_13,13_03,03_03,03_10	1.0	6.0	[]	164.04239	165.5285	[]	166.02542	167.51869	2	166.78322	[['2', 166.7832188999746]]	[]	171.00352	172.48802	2	171.7527	[['2', 171.7526973001659]]	[]	175.97075	177.45851	2	176.68953	[['2', 176.68952570017427]]	[]	180.94566	182.4294	2	181.75974	[['2', 181.75973649998195]]	[]	185.9124	187.39882	3	186.7768	[['3', 186.77679640008137]]	--
8	0	2	1	0	0	0	5	2	1	1	0	3	1	0	1	0	6	3	1	0	0	3	1	0	1	1	0	0	0	0	10201030110.0	01_02,02_01,01_03,03_01,01_10	1.0	7.0	[]	190.88316	192.36974	[]	192.87311	194.3582	3	193.75082	[['3', 193.7508266000077]]	[]	197.83983	199.32889	3	199.19983	[['3', 199.19983320008032]]	[]	202.81468	204.29964	3	204.1265	[['3', 204.12649220018648]]	[]	207.7784	209.26987	3	208.77083	[['3', 208.7708257001359]]	[]	212.75156	214.2347	2	214.29459	[['2', 214.29459120007232]]	--
9	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	5	2	1	1	0	0	0	0	0	0	7	3	1	1	100020003.0	00_01,01_00,00_02,02_00,00_03	1.0	8.0	[]	217.72308	219.20882	[]	219.71658	221.1993	2	220.55806	[['2', 220.5580551000312]]	[]	224.68167	226.16829	2	225.15701	[['2', 225.15701290010475]]	[]	229.65248	231.13449	3	230.57448	[['3', 230.57447380013764]]	[]	234.6205	236.10869	3	235.94733	[['3', 235.94733150000684]]	[]	239.59474	241.07832	3	240.35603	[['3', 240.356035400182]]	244.49132940010168
10	0	2	1	0	0	1	6	3	1	0	0	4	2	1	0	0	5	2	1	1	0	7	3	1	1	0	4	2	1	0	11302020302.0	01_13,13_02,02_02,02_03,03_02	0.0	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
