TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2	trial_end
1	1	5	2	1	1	1	0	0	0	0	0	6	3	1	0	121003.0	1.0	0.0	[]	3.0009065	4.488485	[]	4.9929504	6.47825	[]	9.963391	11.444965	3	11.188527	[['3', 11.18852680013515]]	--
2	0	1	0	0	1	0	4	2	1	0	0	4	2	1	0	202.0	1.0	1.0	[]	14.929626	16.419758	[]	16.923983	18.408949	[]	21.887804	23.37919	2	22.5524	[['2', 22.552399800159037]]	--
3	1	6	3	1	0	1	2	1	0	0	0	5	2	1	1	131102.0	1.0	2.0	[]	26.866156	28.348461	[]	28.850994	30.338348	[]	33.824993	35.30916	3	34.618496	[['3', 34.61849410017021]]	--
4	0	4	2	1	0	0	4	2	1	0	0	1	0	0	1	20200.0	1.0	3.0	[]	38.79097	40.278976	[]	40.779724	42.269695	[]	45.75314	47.23816	3	46.629448	[['3', 46.629446300212294]]	--
5	0	0	0	0	0	0	2	1	0	0	1	1	0	0	1	110.0	1.0	4.0	[]	50.72433	52.207287	[]	52.71619	54.196926	[]	57.681103	59.168644	3	58.654594	[['3', 58.65459520020522]]	--
6	1	6	3	1	0	1	7	3	1	1	1	1	0	0	1	131310.0	1.0	5.0	[]	62.650585	64.13444	[]	64.644295	66.12748	[]	69.61041	71.09938	3	70.33673	[['3', 70.33673470001668]]	--
7	0	4	2	1	0	0	3	1	0	1	0	5	2	1	1	20102.0	1.0	6.0	[]	74.58489	76.06838	[]	76.57064	78.05871	[]	81.54407	83.02829	2	82.267426	[['2', 82.26742690009996]]	--
8	1	6	3	1	0	0	7	3	1	1	1	3	1	0	1	130311.0	1.0	7.0	[]	86.51224	87.999146	[]	88.50078	89.98804	[]	93.47231	94.95862	3	94.21054	[['3', 94.21054440014996]]	--
9	1	1	0	0	1	1	1	0	0	1	1	6	3	1	0	101013.0	1.0	8.0	[]	98.43643	99.92891	[]	100.43592	101.91981	[]	105.400955	106.88936	3	106.1882	[['3', 106.18819850008003]]	--
10	1	0	0	0	0	1	4	2	1	0	0	6	3	1	0	101203.0	1.0	9.0	[]	110.37541	111.8541	[]	112.36288	113.84451	[]	117.3327	118.81989	3	118.041916	[['3', 118.04191250004806]]	--
11	1	3	1	0	1	0	4	2	1	0	0	7	3	1	1	110203.0	1.0	10.0	[]	122.30395	123.78872	[]	124.28627	125.77895	[]	129.26593	130.74802	2	130.54771	[['2', 130.54771890002303]]	--
12	1	2	1	0	0	1	4	2	1	0	0	3	1	0	1	111201.0	1.0	11.0	[]	134.23132	135.71906	[]	136.22517	137.70909	[]	141.19272	142.67761	3	141.85962	[['3', 141.8596244000364]]	--
13	1	2	1	0	0	1	4	2	1	0	1	4	2	1	0	111212.0	1.0	12.0	[]	146.16371	147.64967	[]	148.15175	149.63441	[]	153.12097	154.6096	2	153.68568	[['2', 153.68568990007043]]	--
14	1	1	0	0	1	0	3	1	0	1	0	5	2	1	1	100102.0	1.0	13.0	[]	158.0937	159.57823	[]	160.08177	161.56906	[]	165.0527	166.5393	3	165.95927	[['3', 165.95927410013974]]	--
15	0	6	3	1	0	1	6	3	1	0	1	2	1	0	0	31311.0	1.0	14.0	[]	170.02309	171.50813	[]	172.01146	173.49449	[]	176.97807	178.46985	3	177.6637	[['3', 177.663693100214]]	--
16	1	5	2	1	1	0	0	0	0	0	0	2	1	0	0	120001.0	1.0	15.0	[]	181.94998	183.43929	[]	183.94006	185.4246	[]	188.9116	190.39824	2	189.61147	[['2', 189.61146800010465]]	--
17	1	4	2	1	0	0	0	0	0	0	1	4	2	1	0	120012.0	1.0	16.0	[]	193.8783	195.36969	[]	195.87297	197.35796	[]	200.84436	202.32881	3	201.51201	[['3', 201.5120039000176]]	--
18	0	6	3	1	0	0	7	3	1	1	1	1	0	0	1	30310.0	1.0	17.0	[]	205.81398	207.29877	[]	207.79945	209.28926	[]	212.77293	214.25995	3	213.97485	[['3', 213.97484610020183]]	--
19	1	2	1	0	0	0	7	3	1	1	0	6	3	1	0	110303.0	1.0	18.0	[]	217.7417	219.22821	[]	219.73396	221.21933	[]	224.70274	226.18875	2	225.6663	[['2', 225.66630580020137]]	--
20	0	3	1	0	1	1	6	3	1	0	0	3	1	0	1	11301.0	1.0	19.0	[]	229.66846	231.1597	[]	231.66138	233.14859	[]	236.63553	238.11914	3	237.49016	[['3', 237.49016030016355]]	241.53217800008133
