TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2	trial_end
1	1	5	2	1	1	1	0	0	0	0	0	6	3	1	0	121003.0	1.0	0.0	[]	2.9962435	4.4889874	[]	4.9945087	6.480019	[]	9.955437	11.448201	3	10.758782	[['3', 10.758782699937]]	--
2	0	1	0	0	1	0	4	2	1	0	0	4	2	1	0	202.0	1.0	1.0	[]	14.934655	16.417212	[]	16.921997	18.40441	[]	21.895964	23.378885	2	23.643099	[['2', 23.643098399974406]]	--
3	1	6	3	1	0	1	2	1	0	0	0	5	2	1	1	131102.0	1.0	2.0	[]	26.861816	28.34966	[]	28.852863	30.3376	[]	33.820644	35.30949	3	34.589653	[['3', 34.589652499882504]]	--
4	0	4	2	1	0	0	4	2	1	0	0	1	0	0	1	20200.0	1.0	3.0	[]	38.791183	40.278328	[]	40.780502	42.269054	[]	45.745396	47.238487	3	48.8852	[['3', 48.88520110002719]]	--
5	0	0	0	0	0	0	2	1	0	0	1	1	0	0	1	110.0	1.0	4.0	[]	50.72629	52.207775	[]	52.71177	54.19943	[]	57.679344	59.168896	2	58.89317	[['2', 58.893170999828726]]	--
6	1	6	3	1	0	1	7	3	1	1	1	1	0	0	1	131310.0	1.0	5.0	[]	62.651913	64.13898	[]	64.64119	66.12992	[]	69.6138	71.09913	3	71.0491	[['3', 71.04910359997302]]	--
7	0	4	2	1	0	0	3	1	0	1	0	5	2	1	1	20102.0	1.0	6.0	[]	74.58103	76.06763	[]	76.57238	78.05441	[]	81.540985	83.03005	3	82.573204	[['3', 82.57320540002547]]	--
8	1	6	3	1	0	0	7	3	1	1	1	3	1	0	1	130311.0	1.0	7.0	[]	86.51654	87.99913	[]	88.50218	89.98888	[]	93.46973	94.957924	3	94.40671	[['3', 94.40671100001782]]	--
9	1	1	0	0	1	1	1	0	0	1	1	6	3	1	0	101013.0	1.0	8.0	[]	98.44496	99.929054	[]	100.4309	101.919205	[]	105.40401	106.88801	3	106.66332	[['3', 106.6633229998406]]	--
10	1	0	0	0	0	1	4	2	1	0	0	6	3	1	0	101203.0	1.0	9.0	[]	110.371376	111.8593	[]	112.364044	113.84451	[]	117.33001	118.81976	2	118.077255	[['2', 118.07725610001944]]	--
11	1	3	1	0	1	0	4	2	1	0	0	7	3	1	1	110203.0	1.0	10.0	[]	122.304184	123.78832	[]	124.28692	125.778946	[]	129.25758	130.7492	3	130.26259	[['3', 130.2625926998444]]	--
12	1	2	1	0	0	1	4	2	1	0	0	3	1	0	1	111201.0	1.0	11.0	[]	134.23004	135.71863	[]	136.22179	137.7089	[]	141.19397	142.67967	3	142.06805	[['3', 142.06805889983661]]	--
13	1	2	1	0	0	1	4	2	1	0	1	4	2	1	0	111212.0	1.0	12.0	[]	146.16138	147.64905	[]	148.15338	149.63898	[]	153.12138	154.60786	2	155.07162	[['2', 155.07162049994804]]	--
14	1	1	0	0	1	0	3	1	0	1	0	5	2	1	1	100102.0	1.0	13.0	[]	158.08833	159.57965	[]	160.08234	161.56805	[]	165.04536	166.53888	3	165.88695	[['3', 165.88694919995032]]	--
15	0	6	3	1	0	1	6	3	1	0	1	2	1	0	0	31311.0	1.0	14.0	[]	170.0261	171.50848	[]	172.01233	173.49905	[]	176.98288	178.47002	3	177.83307	[['3', 177.83307319995947]]	--
16	1	5	2	1	1	0	0	0	0	0	0	2	1	0	0	120001.0	1.0	15.0	[]	181.95259	183.43837	[]	183.94069	185.42924	[]	188.91257	190.39706	3	189.9422	[['3', 189.9421955998987]]	--
17	1	4	2	1	0	0	0	0	0	0	1	4	2	1	0	120012.0	1.0	16.0	[]	193.88013	195.36949	[]	195.87524	197.35825	[]	200.83614	202.3248	3	203.6619	[['3', 203.6618957000319]]	--
18	0	6	3	1	0	0	7	3	1	1	1	1	0	0	1	30310.0	1.0	17.0	[]	205.81595	207.2991	[]	207.80264	209.2872	[]	212.77232	214.25888	3	214.51184	[['3', 214.51183549989946]]	--
19	1	2	1	0	0	0	7	3	1	1	0	6	3	1	0	110303.0	1.0	18.0	[]	217.74246	219.22864	[]	219.73192	221.21823	[]	224.70456	226.19005	2	225.51622	[['2', 225.51621419982985]]	--
20	0	3	1	0	1	1	6	3	1	0	0	3	1	0	1	11301.0	1.0	19.0	[]	229.66997	231.1586	[]	231.66321	233.14859	[]	236.63437	238.11879	3	239.24486	[['3', 239.24485799996182]]	241.53237010003068
