TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	loc4	ref4	obj4	ctg4	ang4	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2	late_responses_3	stimulus_3_onset	stimulus_3_offset	response_3	response_3_time	all_responses_3
1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	5	2	1	1	1002.0	1.0	0.0	[]	3.00054	4.4890127	[]	4.998299	6.478381	[]	9.96141	11.447897	2	10.560485	[['2', 10.560484800022095]]	[]	14.935831	16.419357	3	15.846283	[['3', 15.8462827000767]]
2	1	3	1	0	1	1	4	2	1	0	1	7	3	1	1	0	7	3	1	1	11121303.0	1.0	1.0	[]	19.903019	21.388279	[]	21.896507	23.378283	[]	26.861555	28.348051	3	28.086647	[['3', 28.08664790005423]]	[]	31.82977	33.319347	2	32.771248	[['2', 32.771247799973935]]
3	1	7	3	1	1	1	4	2	1	0	0	2	1	0	0	1	5	2	1	1	13120112.0	1.0	2.0	[]	36.80659	38.287212	[]	38.792	40.279366	[]	43.763813	45.24917	3	44.686897	[['3', 44.68689800007269]]	[]	48.726345	50.217827	2	49.877857	[['2', 49.87785809999332]]
4	1	0	0	0	0	1	3	1	0	1	0	4	2	1	0	0	4	2	1	0	10110202.0	1.0	3.0	[]	53.70424	55.1842	[]	55.692375	57.17748	[]	60.65952	62.149372	3	61.88757	[['3', 61.88756930013187]]	[]	65.63287	67.11923	3	66.55802	[['3', 66.55802490003407]]
5	1	7	3	1	1	0	3	1	0	1	1	7	3	1	1	0	5	2	1	1	13011302.0	1.0	4.0	[]	70.60226	72.089035	[]	72.59369	74.07917	[]	77.56036	79.048096	2	78.37119	[['2', 78.37119300011545]]	[]	82.531906	84.017876	3	83.36784	[['3', 83.36784650012851]]
6	1	1	0	0	1	0	0	0	0	0	0	7	3	1	1	0	1	0	0	1	10000300.0	1.0	5.0	[]	87.50404	88.988266	[]	89.49042	90.979164	[]	94.46259	95.94779	3	95.18076	[['3', 95.18076130002737]]	[]	99.42663	100.91918	2	100.03599	[['2', 100.03599050012417]]
7	1	7	3	1	1	1	2	1	0	0	0	4	2	1	0	0	2	1	0	0	13110201.0	1.0	6.0	[]	104.40584	105.88829	[]	106.39123	107.879105	[]	111.364944	112.84801	2	112.54127	[['2', 112.54126450000331]]	[]	116.32617	117.81864	2	117.5422	[['2', 117.54219610011205]]
8	0	6	3	1	0	1	2	1	0	0	1	3	1	0	1	0	2	1	0	0	3111101.0	1.0	7.0	[]	121.30457	122.78432	[]	123.2923	124.77838	[]	128.25996	129.7497	3	129.19302	[['3', 129.19302750006318]]	[]	133.23091	134.71861	2	133.99974	[['2', 133.9997479999438]]
9	0	1	0	0	1	0	5	2	1	1	0	2	1	0	0	1	5	2	1	1	20112.0	1.0	8.0	[]	138.20111	139.68423	[]	140.19328	141.67967	[]	145.1599	146.6494	2	146.0854	[['2', 146.08540820004418]]	[]	150.13464	151.61754	2	150.86655	[['2', 150.86655059992336]]
10	1	7	3	1	1	0	0	0	0	0	0	7	3	1	1	0	1	0	0	1	13000300.0	1.0	9.0	[]	155.10219	156.58867	[]	157.09383	158.57874	[]	162.06174	163.54802	2	163.32437	[['2', 163.32437829999253]]	[]	167.03394	168.51872	2	168.10416	[['2', 168.10416310001165]]
