TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	loc4	ref4	obj4	ctg4	ang4	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2	late_responses_3	stimulus_3_onset	stimulus_3_offset	response_3	response_3_time	all_responses_3
1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	5	2	1	1	1002.0	1.0	0.0	[]	3.000437	4.4880214	[]	4.9961896	6.478013	[]	9.961384	11.449884	2	10.841301	[['2', 10.841301300097257]]	[]	14.93644	16.419197	3	15.481017	[['3', 15.48101680004038]]
2	1	3	1	0	1	1	4	2	1	0	1	7	3	1	1	0	7	3	1	1	11121303.0	1.0	1.0	[]	19.90262	21.387112	[]	21.895826	23.37426	[]	26.861982	28.349037	2	27.81057	[['2', 27.810569900088012]]	[]	31.825346	33.314575	3	32.501167	[['3', 32.50116780004464]]
3	1	7	3	1	1	1	4	2	1	0	0	2	1	0	0	1	5	2	1	1	13120112.0	1.0	2.0	[]	36.804024	38.289318	[]	38.79115	40.279255	[]	43.75789	45.249126	3	44.39998	[['3', 44.39997939998284]]	[]	48.73109	50.219402	2	49.549522	[['2', 49.54952130001038]]
4	1	0	0	0	0	1	3	1	0	1	0	4	2	1	0	0	4	2	1	0	10110202.0	1.0	3.0	[]	53.705395	55.188152	[]	55.69227	57.179073	[]	60.66063	62.14892	3	61.538925	[['3', 61.53892379999161]]	[]	65.636116	67.11924	3	66.46793	[['3', 66.4679322000593]]
5	1	7	3	1	1	0	3	1	0	1	1	7	3	1	1	0	5	2	1	1	13011302.0	1.0	4.0	[]	70.59946	72.08754	[]	72.59401	74.07438	[]	77.56128	79.04971	3	78.715836	[['3', 78.7158339000307]]	[]	82.5307	84.019	2	83.23798	[['2', 83.23798380000517]]
6	1	1	0	0	1	0	0	0	0	0	0	7	3	1	1	0	1	0	0	1	10000300.0	1.0	5.0	[]	87.50298	88.98885	[]	89.49206	90.97854	[]	94.457726	95.94873	3	95.26186	[['3', 95.26186649990268]]	[]	99.43251	100.919685	2	100.2351	[['2', 100.23509650002234]]
7	1	7	3	1	1	1	2	1	0	0	0	4	2	1	0	0	2	1	0	0	13110201.0	1.0	6.0	[]	104.40411	105.88961	[]	106.391624	107.87848	[]	111.36549	112.84936	3	112.17736	[['3', 112.17735989997163]]	[]	116.33191	117.818794	3	117.568405	[['3', 117.56840889994055]]
8	0	6	3	1	0	1	2	1	0	0	1	3	1	0	1	0	2	1	0	0	3111101.0	1.0	7.0	[]	121.30428	122.78975	[]	123.29143	124.778755	[]	128.26855	129.74886	2	129.03674	[['2', 129.03674759995192]]	[]	133.23169	134.71794	3	134.21356	[['3', 134.21356460009702]]
9	0	1	0	0	1	0	5	2	1	1	0	2	1	0	0	1	5	2	1	1	20112.0	1.0	8.0	[]	138.19966	139.68842	[]	140.19328	141.67892	[]	145.16083	146.64806	3	145.87721	[['3', 145.87721069995314]]	[]	150.13274	151.61884	3	151.41803	[['3', 151.41803300008178]]
10	1	7	3	1	1	0	0	0	0	0	0	7	3	1	1	0	1	0	0	1	13000300.0	1.0	9.0	[]	155.10231	156.58824	[]	157.09557	158.57883	[]	162.06125	163.5482	3	162.7447	[['3', 162.74470419995487]]	[]	167.03522	168.51833	3	167.94339	[['3', 167.94339519995265]]
