TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	loc4	ref4	obj4	ctg4	ang4	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2	late_responses_3	stimulus_3_onset	stimulus_3_offset	response_3	response_3_time	all_responses_3
1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	5	2	1	1	1002.0	1.0	0.0	[]	3.0037465	4.4895067	[]	4.995333	6.477519	[]	9.956408	11.449157	3	10.969989	[['3', 10.969989100005478]]	[]	14.936551	16.414667	2	15.884797	[['2', 15.884797300212085]]
2	1	3	1	0	1	1	4	2	1	0	1	7	3	1	1	0	7	3	1	1	11121303.0	1.0	1.0	[]	19.90051	21.38945	[]	21.89497	23.378563	[]	26.859581	28.34874	2	28.185225	[['2', 28.185224700020626]]	[]	31.830387	33.31812	3	32.801693	[['3', 32.80169270001352]]
3	1	7	3	1	1	1	4	2	1	0	0	2	1	0	0	1	5	2	1	1	13120112.0	1.0	2.0	[]	36.802258	38.28823	[]	38.79208	40.278854	[]	43.758766	45.247437	3	45.29907	[['3', 45.29906940017827]]	[]	48.730713	50.219383	2	49.770584	[['2', 49.77058450016193]]
4	1	0	0	0	0	1	3	1	0	1	0	4	2	1	0	0	4	2	1	0	10110202.0	1.0	3.0	[]	53.705723	55.188644	[]	55.691807	57.179386	[]	60.659985	62.148888	3	62.151196	[['3', 62.15119560016319]]	[]	65.63561	67.114494	3	66.60923	[['3', 66.60923130018637]]
5	1	7	3	1	1	0	3	1	0	1	1	7	3	1	1	0	5	2	1	1	13011302.0	1.0	4.0	[]	70.60156	72.08963	[]	72.59199	74.078094	[]	77.55642	79.04922	2	78.343834	[['2', 78.34383470006287]]	[]	82.53237	84.01446	2	83.71151	[['2', 83.71151080005802]]
6	1	1	0	0	1	0	0	0	0	0	0	7	3	1	1	0	1	0	0	1	10000300.0	1.0	5.0	[]	87.50611	88.98966	[]	89.491394	90.97791	[]	94.46245	95.9491	3	95.75527	[['3', 95.75527460011654]]	[]	99.43196	100.91841	2	100.72795	[['2', 100.72795150009915]]
7	1	7	3	1	1	1	2	1	0	0	0	4	2	1	0	0	2	1	0	0	13110201.0	1.0	6.0	[]	104.4032	105.88934	[]	106.39177	107.87733	[]	111.361305	112.84805	3	112.62827	[['3', 112.62827380001545]]	[]	116.33333	117.819824	3	117.427795	[['3', 117.42779840016738]]
8	0	6	3	1	0	1	2	1	0	0	1	3	1	0	1	0	2	1	0	0	3111101.0	1.0	7.0	[]	121.30515	122.78842	[]	123.29007	124.77953	[]	128.26546	129.74802	3	129.5014	[['3', 129.50140380021185]]	[]	133.23145	134.71913	2	134.4641	[['2', 134.46409160015173]]
9	0	1	0	0	1	0	5	2	1	1	0	2	1	0	0	1	5	2	1	1	20112.0	1.0	8.0	['3']	138.20096	139.6891	[]	140.19296	141.6787	[]	145.16321	146.64731	2	146.06065	[['2', 146.0606501000002]]	[]	150.13307	151.61453	3	151.57156	[['3', 151.5715666001197]]
10	1	7	3	1	1	0	0	0	0	0	0	7	3	1	1	0	1	0	0	1	13000300.0	1.0	9.0	[]	155.09734	156.58975	[]	157.08934	158.57797	[]	162.0562	163.54901	3	163.35863	[['3', 163.35862850002013]]	[]	167.03581	168.51457	2	167.99394	[['2', 167.9939466000069]]
