TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	loc4	ref4	obj4	ctg4	ang4	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2	late_responses_3	stimulus_3_onset	stimulus_3_offset	response_3	response_3_time	all_responses_3
1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	5	2	1	1	1002.0	1.0	0.0	[]	2.9996488	4.488857	[]	4.9959245	6.4797635	[]	9.969256	11.44997	3	10.785658	[['3', 10.785657499916852]]	[]	14.932639	16.420729	2	16.041876	[['2', 16.04187500011176]]
2	1	3	1	0	1	1	4	2	1	0	1	7	3	1	1	0	7	3	1	1	11121303.0	1.0	1.0	[]	19.90489	21.388405	[]	21.893717	23.377731	[]	26.864086	28.349453	2	27.646408	[['2', 27.64640889992006]]	[]	31.831982	33.318905	3	32.644913	[['3', 32.64491229993291]]
3	1	7	3	1	1	1	4	2	1	0	0	2	1	0	0	1	5	2	1	1	13120112.0	1.0	2.0	[]	36.795425	38.288452	[]	38.796074	40.277824	[]	43.760704	45.24814	3	44.611015	[['3', 44.6110139999073]]	[]	48.73564	50.218845	2	49.792004	[['2', 49.79200479993597]]
4	1	0	0	0	0	1	3	1	0	1	0	4	2	1	0	0	4	2	1	0	10110202.0	1.0	3.0	[]	53.7027	55.18729	[]	55.69574	57.17881	[]	60.66095	62.14852	3	61.517826	[['3', 61.517827400006354]]	[]	65.6354	67.11862	3	66.40085	[['3', 66.40084980009124]]
5	1	7	3	1	1	0	3	1	0	1	1	7	3	1	1	0	5	2	1	1	13011302.0	1.0	4.0	[]	70.6001	72.08976	[]	72.59066	74.079285	[]	77.56375	79.04868	3	78.65694	[['3', 78.65693480009213]]	[]	82.531715	84.01871	3	83.93482	[['3', 83.9348182999529]]
6	1	1	0	0	1	0	0	0	0	0	0	7	3	1	1	0	1	0	0	1	10000300.0	1.0	5.0	[]	87.49801	88.98861	[]	89.49104	90.97845	[]	94.462204	95.9482	2	95.59221	[['2', 95.59220680012368]]	[]	99.43123	100.918976	3	100.12114	[['3', 100.12114219996147]]
7	1	7	3	1	1	1	2	1	0	0	0	4	2	1	0	0	2	1	0	0	13110201.0	1.0	6.0	[]	104.40477	105.88827	[]	106.393	107.87893	[]	111.36583	112.84463	3	112.10472	[['3', 112.10472419997677]]	[]	116.33056	117.819244	3	117.15702	[['3', 117.15702340006828]]
8	0	6	3	1	0	1	2	1	0	0	1	3	1	0	1	0	2	1	0	0	3111101.0	1.0	7.0	[]	121.300835	122.78928	[]	123.29293	124.77877	[]	128.26543	129.74838	2	129.00264	[['2', 129.00263909995556]]	[]	133.2322	134.71901	2	134.14368	[['2', 134.1436807999853]]
9	0	1	0	0	1	0	5	2	1	1	0	2	1	0	0	1	5	2	1	1	20112.0	1.0	8.0	[]	138.19957	139.68973	[]	140.19331	141.67883	[]	145.15599	146.649	2	145.97957	[['2', 145.97956570005044]]	[]	150.13551	151.61456	3	150.83174	[['3', 150.83174880011939]]
10	1	7	3	1	1	0	0	0	0	0	0	7	3	1	1	0	1	0	0	1	13000300.0	1.0	9.0	[]	155.10138	156.58972	[]	157.0931	158.57841	[]	162.0603	163.5487	2	162.73326	[['2', 162.73325709998608]]	[]	167.03563	168.51445	3	167.83815	[['3', 167.83815099997446]]
