TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	loc4	ref4	obj4	ctg4	ang4	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2	late_responses_3	stimulus_3_onset	stimulus_3_offset	response_3	response_3_time	all_responses_3
1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	5	2	1	1	1002.0	1.0	0.0	[]	3.003993	4.489558	[]	4.9916673	6.4788294	[]	9.965419	11.448702	2	10.735914	[['2', 10.735914199845865]]	[]	14.933715	16.419752	3	15.691635	[['3', 15.691635599825531]]
2	1	3	1	0	1	1	4	2	1	0	1	7	3	1	1	0	7	3	1	1	11121303.0	1.0	1.0	[]	19.905506	21.38825	[]	21.892118	23.378683	[]	26.861563	28.34504	3	27.778948	[['3', 27.77894779993221]]	[]	31.833841	33.319164	3	32.670387	[['3', 32.67038689996116]]
3	1	7	3	1	1	1	4	2	1	0	0	2	1	0	0	1	5	2	1	1	13120112.0	1.0	2.0	[]	36.80224	38.287895	[]	38.796284	40.27437	[]	43.7617	45.244907	3	44.4099	[['3', 44.4099023998715]]	[]	48.73512	50.219166	2	50.186283	[['2', 50.18628239980899]]
4	1	0	0	0	0	1	3	1	0	1	0	4	2	1	0	0	4	2	1	0	10110202.0	1.0	3.0	[]	53.702976	55.190025	[]	55.691906	57.178577	[]	60.661465	62.149105	3	61.89236	[['3', 61.89235879993066]]	[]	65.62537	67.118774	3	66.713684	[['3', 66.71368409995921]]
5	1	7	3	1	1	0	3	1	0	1	1	7	3	1	1	0	5	2	1	1	13011302.0	1.0	4.0	[]	70.600235	72.08986	[]	72.59138	74.07804	[]	77.56538	79.04935	3	78.28868	[['3', 78.28868399979547]]	[]	82.53197	84.018715	3	83.427666	[['3', 83.42766559985466]]
6	1	1	0	0	1	0	0	0	0	0	0	7	3	1	1	0	1	0	0	1	10000300.0	1.0	5.0	[]	87.50644	88.9898	[]	89.491714	90.97816	[]	94.46106	95.94467	3	95.278885	[['3', 95.27888679993339]]	[]	99.43451	100.91842	2	100.76939	[['2', 100.76938949991018]]
7	1	7	3	1	1	1	2	1	0	0	0	4	2	1	0	0	2	1	0	0	13110201.0	1.0	6.0	[]	104.401726	105.888374	[]	106.39594	107.88155	[]	111.364	112.85166	--	--	--	[]	116.33772	117.81457	3	117.08217	[['3', 117.08216949994676]]
8	0	6	3	1	0	1	2	1	0	0	1	3	1	0	1	0	2	1	0	0	3111101.0	1.0	7.0	[]	121.30184	122.78853	[]	123.29472	124.77895	[]	128.2609	129.74869	2	129.59865	[['2', 129.5986494999379]]	[]	133.23431	134.71902	3	134.01884	[['3', 134.018848199863]]
9	0	1	0	0	1	0	5	2	1	1	0	2	1	0	0	1	5	2	1	1	20112.0	1.0	8.0	[]	138.20229	139.6899	[]	140.18973	141.6779	[]	145.16635	146.64862	3	146.91132	[['3', 146.91131339990534]]	[]	150.13145	151.61499	3	151.75455	[['3', 151.75454519991763]]
10	1	7	3	1	1	0	0	0	0	0	0	7	3	1	1	0	1	0	0	1	13000300.0	1.0	9.0	[]	155.10426	156.58995	[]	157.09116	158.57776	[]	162.06006	163.54918	3	163.20778	[['3', 163.20778039982542]]	[]	167.03185	168.51839	3	167.76228	[['3', 167.76228829985484]]
