TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	loc4	ref4	obj4	ctg4	ang4	loc5	ref5	obj5	ctg5	ang5	loc6	ref6	obj6	ctg6	ang6	tc_nodes	tc_pairs	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	response_1	response_1_time	all_responses_1	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2	late_responses_3	stimulus_3_onset	stimulus_3_offset	response_3	response_3_time	all_responses_3	late_responses_4	stimulus_4_onset	stimulus_4_offset	response_4	response_4_time	all_responses_4	late_responses_5	stimulus_5_onset	stimulus_5_offset	response_5	response_5_time	all_responses_5
1	0	0	0	0	0	1	4	2	1	0	0	0	0	0	0	1	6	3	1	0	0	3	1	0	1	0	2	1	0	0	1200130101.0	00_12,12_00,00_13,13_01,01_01	1.0	0.0	[]	3.00232	4.488894	[]	6.2330303	7.718875	3	7.139913	[['3', 7.139913199935108]]	[]	11.20635	12.68884	3	12.0922575	[['3', 12.092257499927655]]	[]	16.17024	17.657984	3	16.941824	[['3', 16.941823499975726]]	[]	21.148232	22.628553	3	22.048004	[['3', 22.048003900097683]]	[]	26.111628	27.59629	2	26.935223	[['2', 26.93522350001149]]
2	1	0	0	0	0	0	6	3	1	0	1	3	1	0	1	0	7	3	1	1	1	4	2	1	0	0	7	3	1	1	100311031203.0	10_03,03_11,11_03,03_12,12_03	1.0	1.0	[]	32.33719	33.816284	[]	35.558247	37.04608	3	36.934566	[['3', 36.93456669989973]]	[]	40.530422	42.019436	3	41.85387	[['3', 41.85387170012109]]	[]	45.503265	46.986927	3	46.326702	[['3', 46.3267033000011]]	[]	50.47479	51.95955	2	52.145954	[['2', 52.14595500007272]]	[]	55.44395	56.92867	2	55.955563	[['2', 55.95556250005029]]
3	1	1	0	0	1	0	3	1	0	1	1	2	1	0	0	0	3	1	0	1	1	4	2	1	0	0	2	1	0	0	100111011201.0	10_01,01_11,11_01,01_12,12_01	1.0	2.0	[]	61.661007	63.14952	[]	64.89514	66.377594	2	65.590004	[['2', 65.59000610001385]]	[]	69.86074	71.34405	2	70.508804	[['2', 70.50880239997059]]	[]	74.82817	76.318695	2	75.58541	[['2', 75.58540900005028]]	[]	79.8023	81.28448	3	80.80063	[['3', 80.80062799993902]]	[]	84.76901	86.25916	3	85.611595	[['3', 85.61159830004908]]
4	0	6	3	1	0	1	6	3	1	0	1	0	0	0	0	1	0	0	0	0	1	3	1	0	1	1	1	0	0	1	31310101110.0	03_13,13_10,10_10,10_11,11_10	1.0	3.0	[]	90.994545	92.478775	[]	94.21917	95.709175	2	94.83824	[['2', 94.83823999995366]]	[]	99.19269	100.67618	3	99.92282	[['3', 99.9228221999947]]	[]	104.16089	105.64415	2	104.97857	[['2', 104.97856900002807]]	[]	109.13554	110.61764	2	109.834015	[['2', 109.83401339990087]]	[]	114.10165	115.585175	2	114.75151	[['2', 114.75150980008766]]
5	0	7	3	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	1	0	0	1	30010001100.0	03_00,00_10,10_00,00_11,11_00	1.0	4.0	[]	120.321945	121.80918	[]	123.55469	125.039444	3	124.34931	[['3', 124.34930959995836]]	[]	128.51976	130.0092	2	129.26788	[['2', 129.2678849999793]]	[]	133.49245	134.97801	2	134.19212	[['2', 134.19212409993634]]	[]	138.46156	139.94913	2	138.99556	[['2', 138.99555220012553]]	[]	143.42957	144.9189	2	144.10431	[['2', 144.1043062999379]]
6	0	4	2	1	0	1	1	0	0	1	0	4	2	1	0	1	2	1	0	0	0	4	2	1	0	1	5	2	1	1	21002110212.0	02_10,10_02,02_11,11_02,02_12	1.0	5.0	[]	149.65471	151.13428	[]	152.87975	154.369	3	153.59183	[['3', 153.59182010008954]]	[]	157.85544	159.33423	3	158.88867	[['3', 158.888675800059]]	[]	162.82126	164.30978	2	163.80797	[['2', 163.8079625000246]]	[]	167.7957	169.2769	3	169.00829	[['3', 169.0082870000042]]	[]	172.76013	174.24866	2	173.57002	[['2', 173.57002230011858]]
7	1	5	2	1	1	0	4	2	1	0	1	6	3	1	0	0	7	3	1	1	0	6	3	1	0	1	0	0	0	0	120213030310.0	12_02,02_13,13_03,03_03,03_10	1.0	6.0	[]	178.98604	180.46764	[]	182.21065	183.69829	2	182.793	[['2', 182.79300229996443]]	[]	187.1754	188.66734	2	187.7037	[['2', 187.70371109992266]]	[]	192.15286	193.6396	2	192.92487	[['2', 192.92487310012802]]	[]	197.11638	198.60835	2	197.76772	[['2', 197.7677194001153]]	[]	202.09369	203.57445	3	202.95793	[['3', 202.9579306000378]]
8	0	2	1	0	0	0	5	2	1	1	0	3	1	0	1	0	6	3	1	0	0	3	1	0	1	1	0	0	0	0	10201030110.0	01_02,02_01,01_03,03_01,01_10	1.0	7.0	[]	208.31314	209.7941	[]	211.53534	213.02715	3	212.32306	[['3', 212.3230592000764]]	[]	216.51524	217.99841	3	217.23772	[['3', 217.23771600006148]]	[]	221.47617	222.9712	3	222.351	[['3', 222.35099219996482]]	[]	226.45645	227.93784	3	227.46817	[['3', 227.46817760006525]]	[]	231.421	232.90666	2	232.32477	[['2', 232.324763600016]]
9	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	5	2	1	1	0	0	0	0	0	0	7	3	1	1	100020003.0	00_01,01_00,00_02,02_00,00_03	1.0	8.0	[]	237.64821	239.1272	[]	240.86728	242.35992	2	241.42996	[['2', 241.42996579990722]]	[]	245.8352	247.32892	2	246.47986	[['2', 246.479855600046]]	[]	250.81252	252.30058	3	251.52591	[['3', 251.52590709994547]]	[]	255.77602	257.2677	3	257.17575	[['3', 257.1757577001117]]	[]	260.75247	262.23962	3	261.84265	[['3', 261.84265829995275]]
10	0	2	1	0	0	1	6	3	1	0	0	4	2	1	0	0	5	2	1	1	0	7	3	1	1	0	4	2	1	0	11302020302.0	01_13,13_02,02_02,02_03,03_02	1.0	9.0	[]	266.9714	268.45926	[]	270.20367	271.6897	3	270.8476	[['3', 270.8476025001146]]	[]	275.16626	276.6589	2	276.00595	[['2', 276.00595210003667]]	[]	280.1452	281.6313	2	280.8178	[['2', 280.81779929995537]]	[]	285.11234	286.59824	2	285.98767	[['2', 285.98767949989997]]	[]	290.07855	291.56876	2	290.9365	[['2', 290.93648639996536]]
