TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	loc4	ref4	obj4	ctg4	ang4	loc5	ref5	obj5	ctg5	ang5	loc6	ref6	obj6	ctg6	ang6	tc_nodes	tc_pairs	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	response_1	response_1_time	all_responses_1	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2	late_responses_3	stimulus_3_onset	stimulus_3_offset	response_3	response_3_time	all_responses_3	late_responses_4	stimulus_4_onset	stimulus_4_offset	response_4	response_4_time	all_responses_4	late_responses_5	stimulus_5_onset	stimulus_5_offset	response_5	response_5_time	all_responses_5
1	0	0	0	0	0	0	6	3	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	2	1	0	0	300100011.0	00_03,03_00,00_10,10_00,00_11	1.0	0.0	[]	3.0010483	4.4889507	[]	6.2287426	7.7187057	2	7.7190104	[['2', 7.719010399887338]]	[]	11.206005	12.688959	2	12.048795	[['2', 12.048794700065628]]	[]	16.170456	17.658335	3	16.961525	[['3', 16.961524500045925]]	[]	21.141573	22.627098	2	22.122562	[['2', 22.12256220006384]]	[]	26.111021	27.598726	3	27.424198	[['3', 27.424197500105947]]
2	0	6	3	1	0	0	4	2	1	0	1	0	0	0	0	0	4	2	1	0	1	3	1	0	1	0	5	2	1	1	30210021102.0	03_02,02_10,10_02,02_11,11_02	1.0	1.0	[]	32.331894	33.819195	[]	35.56129	37.048225	2	36.13324	[['2', 36.13323949999176]]	[]	40.52643	42.019375	3	41.091667	[['3', 41.091668399982154]]	[]	45.50615	46.98857	3	46.30832	[['3', 46.3083186999429]]	[]	50.47025	51.959705	3	51.713013	[['3', 51.71301140007563]]	[]	55.446125	56.928047	3	58.265755	[['3', 58.26575340004638]]
3	1	2	1	0	0	0	1	0	0	1	1	4	2	1	0	0	0	0	0	0	1	6	3	1	0	0	3	1	0	1	110012001301.0	11_00,00_12,12_00,00_13,13_01	1.0	2.0	[]	61.66175	63.144127	[]	64.89525	66.37452	3	65.55297	[['3', 65.55297120008618]]	[]	69.86035	71.34857	3	70.406166	[['3', 70.40616580005735]]	[]	74.83478	76.31761	3	75.49496	[['3', 75.49495909991674]]	[]	79.800606	81.2895	3	80.5787	[['3', 80.5786977999378]]	[]	84.77519	86.258385	3	85.67735	[['3', 85.677354299929]]
4	0	3	1	0	1	0	3	1	0	1	0	4	2	1	0	0	3	1	0	1	0	6	3	1	0	0	2	1	0	0	10102010301.0	01_01,01_02,02_01,01_03,03_01	1.0	3.0	[]	90.99303	92.47446	[]	94.21929	95.709175	2	94.8077	[['2', 94.80769790010527]]	[]	99.19334	100.67795	2	99.75992	[['2', 99.75991829996929]]	[]	104.16093	105.64852	2	104.82295	[['2', 104.82295330008492]]	[]	109.12959	110.61904	2	109.816925	[['2', 109.81692199991085]]	[]	114.10142	115.58834	2	114.76739	[['2', 114.76738959993236]]
5	0	4	2	1	0	1	4	2	1	0	0	4	2	1	0	1	7	3	1	1	0	6	3	1	0	0	7	3	1	1	21202130303.0	02_12,12_02,02_13,13_03,03_03	1.0	4.0	[]	120.32264	121.80987	[]	123.55247	125.03448	3	123.98382	[['3', 123.9838155999314]]	[]	128.5241	130.0098	3	129.40744	[['3', 129.40743670007214]]	[]	133.49194	134.97794	3	134.2328	[['3', 134.23280330002308]]	[]	138.45975	139.94858	3	139.04561	[['3', 139.04560519987717]]	[]	143.43404	144.91824	2	144.01022	[['2', 144.0102172999177]]
6	1	4	2	1	0	0	3	1	0	1	1	7	3	1	1	0	4	2	1	0	0	5	2	1	1	0	6	3	1	0	120113020203.0	12_01,01_13,13_02,02_02,02_03	1.0	5.0	[]	149.65155	151.13954	[]	152.88443	154.3675	3	153.51387	[['3', 153.51387139991857]]	[]	157.85081	159.33983	3	158.51382	[['3', 158.51382100000046]]	[]	162.82126	164.30894	3	163.4734	[['3', 163.47339989989996]]	[]	167.79414	169.27927	2	168.50633	[['2', 168.50632899999619]]	[]	172.76001	174.24423	2	173.45831	[['2', 173.45830689999275]]
7	0	7	3	1	1	1	1	0	0	1	0	6	3	1	0	1	2	1	0	0	0	6	3	1	0	1	5	2	1	1	31003110312.0	03_10,10_03,03_11,11_03,03_12	1.0	6.0	[]	178.98856	180.46864	[]	182.21356	183.69736	3	182.94377	[['3', 182.94377860007808]]	[]	187.18501	188.66896	3	187.87677	[['3', 187.8767705000937]]	[]	192.15187	193.63821	3	192.66412	[['3', 192.66411609994248]]	[]	197.12012	198.60986	3	197.8707	[['3', 197.87070169998333]]	[]	202.09206	203.57922	3	202.51471	[['3', 202.51471160002984]]
8	0	1	0	0	1	0	0	0	0	0	0	2	1	0	0	0	1	0	0	1	0	4	2	1	0	0	0	0	0	0	1000200.0	00_00,00_01,01_00,00_02,02_00	1.0	7.0	[]	208.311	209.79805	[]	211.54669	213.02765	2	212.22302	[['2', 212.223023599945]]	[]	216.51006	217.99974	2	216.98	[['2', 216.9799913999159]]	[]	221.48518	222.96794	2	222.13206	[['2', 222.13206669990905]]	[]	226.45103	227.93878	2	227.01422	[['2', 227.01421900000423]]	[]	231.42546	232.90948	2	231.92403	[['2', 231.92402000003494]]
9	1	4	2	1	0	0	6	3	1	0	1	7	3	1	1	1	1	0	0	1	1	0	0	0	0	1	3	1	0	1	120313101011.0	12_03,03_13,13_10,10_10,10_11	1.0	8.0	[]	237.64322	239.12816	[]	240.87332	242.35945	3	241.43524	[['3', 241.43523929989897]]	[]	245.8456	247.32883	3	246.51385	[['3', 246.5138513999991]]	[]	250.80962	252.30064	2	251.55678	[['2', 251.55678149987943]]	[]	255.78487	257.2676	2	256.28174	[['2', 256.28172830003314]]	[]	260.75092	262.23856	2	261.29254	[['2', 261.2925501000136]]
10	0	2	1	0	0	1	0	0	0	0	0	2	1	0	0	1	3	1	0	1	0	3	1	0	1	1	4	2	1	0	11001110112.0	01_10,10_01,01_11,11_01,01_12	1.0	9.0	[]	266.9712	268.45898	[]	270.20663	271.68845	3	270.88354	[['3', 270.88353320001625]]	[]	275.17133	276.65817	3	275.72708	[['3', 275.72708189999685]]	[]	280.14407	281.6296	2	280.77237	[['2', 280.77236699988134]]	[]	285.10703	286.59903	3	285.66412	[['3', 285.6641239998862]]	[]	290.07547	291.56793	3	290.57062	[['3', 290.570631199982]]
