TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2
1	0	0	0	0	0	0	7	3	1	1	0	5	2	1	1	302.0	1.0	0.0	[]	3.00158	4.4919877	[]	6.2310834	7.7193546	[]	11.205885	12.687207	2	11.953166	[['2', 11.95316609996371]]
2	1	4	2	1	0	0	2	1	0	0	1	6	3	1	0	120113.0	1.0	1.0	[]	17.4234	18.909826	[]	20.652855	22.13843	[]	25.621466	27.110102	3	26.753082	[['3', 26.75308270007372]]
3	1	3	1	0	1	0	5	2	1	1	0	3	1	0	1	110201.0	1.0	2.0	[]	31.849386	33.328213	[]	35.07148	36.559864	[]	40.04733	41.528194	2	40.649006	[['2', 40.64900660002604]]
4	0	2	1	0	0	1	3	1	0	1	0	3	1	0	1	11101.0	1.0	3.0	[]	46.263878	47.748505	[]	49.485306	50.97803	[]	54.464985	55.948727	2	55.079956	[['2', 55.07995459996164]]
5	1	5	2	1	1	0	5	2	1	1	1	4	2	1	0	120212.0	1.0	4.0	[]	60.682705	62.166874	[]	63.916965	65.399345	[]	68.876816	70.36734	2	69.5235	[['2', 69.52349960012361]]
6	0	2	1	0	0	1	5	2	1	1	1	7	3	1	1	11213.0	1.0	5.0	[]	75.101395	76.58415	[]	78.33085	79.81785	[]	83.30059	84.789024	2	84.114136	[['2', 84.11413450003602]]
7	0	6	3	1	0	1	2	1	0	0	1	1	0	0	1	31110.0	1.0	6.0	[]	89.52936	91.00921	[]	92.752106	94.23898	[]	97.720764	99.209785	2	98.19576	[['2', 98.19576340005733]]
8	1	4	2	1	0	1	7	3	1	1	1	3	1	0	1	121311.0	1.0	7.0	[]	103.942184	105.42927	[]	107.17314	108.65988	[]	112.14331	113.62922	3	112.84708	[['3', 112.84707910008729]]
9	1	1	0	0	1	0	3	1	0	1	0	6	3	1	0	100103.0	1.0	8.0	[]	118.36275	119.848175	[]	121.59913	123.07948	[]	126.56017	128.04832	3	127.47771	[['3', 127.47770379995927]]
10	0	3	1	0	1	0	0	0	0	0	1	1	0	0	1	10010.0	1.0	9.0	[]	132.78705	134.26808	[]	136.01247	137.49991	[]	140.97539	142.46791	2	141.51875	[['2', 141.51875920011662]]
11	0	2	1	0	0	0	1	0	0	1	0	6	3	1	0	10003.0	1.0	10.0	[]	147.2093	148.68831	[]	150.43124	151.91829	[]	155.40193	156.88416	3	156.25702	[['3', 156.2570211000275]]
12	0	0	0	0	0	1	1	0	0	1	0	7	3	1	1	1003.0	1.0	11.0	[]	161.62337	163.10902	[]	164.85214	166.33888	[]	169.82202	171.30904	3	170.45438	[['3', 170.45437890011817]]
13	1	0	0	0	0	1	5	2	1	1	1	6	3	1	0	101213.0	1.0	12.0	[]	176.04205	177.52948	[]	179.27423	180.75867	[]	184.2355	185.72899	2	184.7425	[['2', 184.74249959993176]]
