TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	loc4	ref4	obj4	ctg4	ang4	loc5	ref5	obj5	ctg5	ang5	loc6	ref6	obj6	ctg6	ang6	tc_nodes	tc_pairs	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	response_1	response_1_time	all_responses_1	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2	late_responses_3	stimulus_3_onset	stimulus_3_offset	response_3	response_3_time	all_responses_3	late_responses_4	stimulus_4_onset	stimulus_4_offset	response_4	response_4_time	all_responses_4	late_responses_5	stimulus_5_onset	stimulus_5_offset	response_5	response_5_time	all_responses_5
1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	3	1	0	1	0	1	0	0	1	1	4	2	1	0	1000110012.0	00_10,10_00,00_11,11_00,00_12	1.0	0.0	[]	3.0049448	4.4882197	[]	6.235213	7.7142296	2	6.8892326	[['2', 6.889232799876481]]	[]	11.199851	12.689768	2	11.946518	[['2', 11.94651750009507]]	[]	16.170015	17.657814	3	17.040833	[['3', 17.040832600090653]]	[]	21.14448	22.628738	3	22.295519	[['3', 22.29551939992234]]	[]	26.107788	27.599205	3	26.96936	[['3', 26.969361199997365]]
2	0	6	3	1	0	1	2	1	0	0	0	7	3	1	1	1	5	2	1	1	0	6	3	1	0	1	7	3	1	1	31103120313.0	03_11,11_03,03_12,12_03,03_13	1.0	1.0	[]	32.336967	33.81683	[]	35.558918	37.048786	3	36.172512	[['3', 36.1725133000873]]	[]	40.53543	42.01676	3	41.38012	[['3', 41.38011879986152]]	[]	45.49973	46.989872	3	46.29071	[['3', 46.290710700210184]]	[]	50.46778	51.95429	3	51.127903	[['3', 51.12790299998596]]	[]	55.439667	56.928864	2	56.3045	[['2', 56.30450149998069]]
3	1	1	0	0	1	0	4	2	1	0	1	2	1	0	0	0	5	2	1	1	1	5	2	1	1	0	5	2	1	1	100211021202.0	10_02,02_11,11_02,02_12,12_02	1.0	2.0	[]	61.658424	63.147766	[]	64.888756	66.37462	3	65.47379	[['3', 65.47379120020196]]	[]	69.855354	71.34811	3	70.51568	[['3', 70.51568170031533]]	[]	74.83281	76.31812	3	75.58756	[['3', 75.58756039990112]]	[]	79.795975	81.28972	2	80.38409	[['2', 80.38408710015938]]	[]	84.7768	86.257286	2	85.53572	[['2', 85.53572250017896]]
4	1	4	2	1	0	0	1	0	0	1	1	7	3	1	1	0	2	1	0	0	0	3	1	0	1	0	5	2	1	1	120013010102.0	12_00,00_13,13_01,01_01,01_02	1.0	3.0	[]	90.994865	92.47856	[]	94.2187	95.70783	3	95.06181	[['3', 95.06181370001286]]	[]	99.19392	100.67846	3	100.053894	[['3', 100.05389210022986]]	[]	104.163795	105.64861	3	104.9737	[['3', 104.973698399961]]	[]	109.13223	110.618	2	110.16176	[['2', 110.16175589989871]]	[]	114.09941	115.58676	3	115.00265	[['3', 115.0026497002691]]
5	1	7	3	1	1	0	5	2	1	1	0	5	2	1	1	0	7	3	1	1	0	5	2	1	1	1	0	0	0	0	130202030210.0	13_02,02_02,02_03,03_02,02_10	1.0	4.0	[]	120.32767	121.80792	[]	123.54906	125.039734	3	124.53722	[['3', 124.5372184002772]]	[]	128.51523	130.00433	2	129.33257	[['2', 129.33255869988352]]	[]	133.48857	134.97433	3	134.19983	[['3', 134.19983249995857]]	[]	138.4558	139.94727	3	139.31291	[['3', 139.31290500005707]]	[]	143.43117	144.91962	3	144.21185	[['3', 144.21184970019385]]
6	0	5	2	1	1	0	2	1	0	0	0	6	3	1	0	0	3	1	0	1	1	0	0	0	0	0	3	1	0	1	20103011001.0	02_01,01_03,03_01,01_10,10_01	1.0	5.0	[]	149.65424	151.13919	[]	152.88339	154.36958	3	153.59308	[['3', 153.5930820000358]]	[]	157.85081	159.33922	3	158.55202	[['3', 158.55201720027253]]	[]	162.82677	164.30911	3	163.57617	[['3', 163.57617950020358]]	[]	167.7918	169.27815	3	168.76402	[['3', 168.76401949999854]]	[]	172.75752	174.24861	3	173.64557	[['3', 173.64556779991835]]
7	1	7	3	1	1	1	0	0	0	0	1	1	0	0	1	1	3	1	0	1	1	0	0	0	0	1	4	2	1	0	131010111012.0	13_10,10_10,10_11,11_10,10_12	1.0	6.0	[]	178.98262	180.46593	[]	182.2096	183.69452	3	182.86545	[['3', 182.86544110020623]]	[]	187.18576	188.66602	2	187.92505	[['2', 187.9250452001579]]	[]	192.14891	193.63965	3	192.83165	[['3', 192.8316453001462]]	[]	197.12671	198.61153	3	197.87106	[['3', 197.87105769990012]]	[]	202.09058	203.57903	3	202.8117	[['3', 202.81171069992706]]
8	0	3	1	0	1	0	0	0	0	0	0	5	2	1	1	0	0	0	0	0	0	6	3	1	0	0	0	0	0	0	10002000300.0	01_00,00_02,02_00,00_03,03_00	1.0	7.0	[]	208.31653	209.79796	[]	211.54037	213.02956	3	212.33432	[['3', 212.3343138000928]]	[]	216.5053	217.99791	3	217.20547	[['3', 217.20547140017152]]	[]	221.48454	222.9695	3	222.14517	[['3', 222.1451781000942]]	[]	226.44844	227.93892	3	227.19814	[['3', 227.1981307999231]]	[]	231.42474	232.90428	3	232.17455	[['3', 232.1745464000851]]
9	0	3	1	0	1	1	2	1	0	0	0	2	1	0	0	1	4	2	1	0	0	2	1	0	0	1	7	3	1	1	11101120113.0	01_11,11_01,01_12,12_01,01_13	1.0	8.0	[]	237.64235	239.1292	[]	240.87447	242.35449	2	241.72755	[['2', 241.72756170015782]]	[]	245.84238	247.32913	2	246.5828	[['2', 246.58278950024396]]	[]	250.80606	252.29869	3	251.48883	[['3', 251.488831799943]]	[]	255.78581	257.26508	3	256.87924	[['3', 256.879253400024]]	[]	260.74548	262.23868	3	261.3645	[['3', 261.3645012001507]]
10	0	5	2	1	1	1	7	3	1	1	0	7	3	1	1	0	7	3	1	1	1	1	0	0	1	0	7	3	1	1	21303031003.0	02_13,13_03,03_03,03_10,10_03	1.0	9.0	[]	266.9771	268.45718	[]	270.1996	271.68875	3	270.90195	[['3', 270.901936000213]]	[]	275.17065	276.659	2	276.02304	[['2', 276.0230446001515]]	[]	280.13864	281.62997	2	280.8223	[['2', 280.8222981998697]]	[]	285.10538	286.5979	3	285.91843	[['3', 285.91844160016626]]	[]	290.08472	291.56888	3	290.85297	[['3', 290.8529706001282]]
