TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	response_1	response_1_time	all_responses_1
1	1	0	1	0	0	1	0	0	0	0	1110.0	1.0	0.0	['2']	2.9962575	4.484912	[]	6.2254734	7.7157097	2	8.555694	[['2', 8.555693416681606]]
2	1	4	2	1	0	0	4	2	1	0	1202.0	1.0	1.0	[]	12.4435425	13.935513	[]	15.676227	17.166183	3	17.732327	[['2', 16.611158208281267], ['3', 17.413589583302382], ['3', 17.57193891669158], ['3', 17.73232720827218]]
3	0	5	2	1	1	0	2	1	0	0	201.0	1.0	2.0	[]	21.89358	23.385204	[]	25.12657	26.618286	3	26.611383	[['3', 26.61138391669374]]
4	0	4	2	1	0	0	1	0	0	1	200.0	1.0	3.0	[]	31.343937	32.835537	[]	34.575348	36.066326	3	35.795204	[['3', 35.795205583272036]]
5	0	7	3	1	1	1	1	0	0	1	310.0	1.0	4.0	[]	40.79355	42.285076	[]	44.02558	45.51475	--	--	--
6	1	5	2	1	1	1	7	3	1	1	1213.0	0.0	--	--	--	--	--	--	--	--	--	--
7	0	4	2	1	0	1	3	1	0	1	211.0	0.0	--	--	--	--	--	--	--	--	--	--
8	1	7	3	1	1	1	5	2	1	1	1312.0	0.0	--	--	--	--	--	--	--	--	--	--
9	0	6	3	1	0	0	7	3	1	1	303.0	0.0	--	--	--	--	--	--	--	--	--	--
10	0	5	2	1	1	1	4	2	1	0	212.0	0.0	--	--	--	--	--	--	--	--	--	--
11	0	4	2	1	0	1	6	3	1	0	213.0	0.0	--	--	--	--	--	--	--	--	--	--
