TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	loc4	ref4	obj4	ctg4	ang4	loc5	ref5	obj5	ctg5	ang5	tc	ran	order
1	0	3	1	0	1	0	1	0	0	1	0	1	0	0	1	0	6	3	1	0	1	3	1	0	1	100000311.0	1.0	0.0
2	0	0	0	0	0	0	0	0	0	0	1	4	2	1	0	0	0	0	0	0	1	1	0	0	1	120010.0	0.0	--
3	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	1	0	2	1	0	102001012.0	0.0	--
4	1	1	0	0	1	0	3	1	0	1	0	3	1	0	1	0	0	0	0	0	0	5	2	1	1	1001010002.0	0.0	--
5	0	0	0	0	0	0	1	0	0	1	0	5	2	1	1	1	3	1	0	1	0	0	0	0	0	21100.0	0.0	--
6	1	0	0	0	0	0	3	1	0	1	1	1	0	0	1	1	0	0	0	0	1	6	3	1	0	1001101013.0	0.0	--
7	0	4	2	1	0	0	1	0	0	1	0	4	2	1	0	1	5	2	1	1	0	3	1	0	1	200021201.0	0.0	--
8	1	6	3	1	0	0	3	1	0	1	0	2	1	0	0	1	2	1	0	0	1	0	0	0	0	1301011110.0	0.0	--
9	0	6	3	1	0	0	2	1	0	0	0	5	2	1	1	0	5	2	1	1	0	6	3	1	0	301020203.0	0.0	--
10	1	2	1	0	0	0	3	1	0	1	1	5	2	1	1	1	6	3	1	0	0	1	0	0	1	1101121300.0	0.0	--
