TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	loc4	ref4	obj4	ctg4	ang4	loc5	ref5	obj5	ctg5	ang5	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1
1	1	2	1	0	0	1	6	3	1	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1113100000.0	1.0	0.0	[]	2.9972274	4.4875193	[]
2	0	7	3	1	1	0	0	0	0	0	0	2	1	0	0	0	5	2	1	1	0	7	3	1	1	300010203.0	0.0	--	--	--	--	--
3	1	0	2	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1201101110.0	0.0	--	--	--	--	--
4	0	1	0	0	1	0	1	0	0	1	0	7	3	1	1	0	5	2	1	1	1	2	1	0	0	30211.0	0.0	--	--	--	--	--
5	1	7	3	1	1	1	4	2	1	0	1	4	2	1	0	0	2	1	0	0	0	3	1	0	1	1312120101.0	0.0	--	--	--	--	--
6	1	6	3	1	0	1	0	0	0	0	0	6	3	1	0	0	7	3	1	1	1	7	3	1	1	1310030313.0	0.0	--	--	--	--	--
7	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	2	1	0	0	0	6	3	1	0	10000103.0	0.0	--	--	--	--	--
8	0	2	1	0	0	0	2	1	0	0	0	5	2	1	1	1	3	1	0	1	0	4	2	1	0	101021102.0	0.0	--	--	--	--	--
9	1	5	2	1	1	0	6	3	1	0	0	4	2	1	0	1	4	2	1	0	1	3	1	0	1	1203021211.0	0.0	--	--	--	--	--
10	0	5	2	1	1	0	2	1	0	0	0	4	2	1	0	0	2	1	0	0	0	5	2	1	1	201020102.0	0.0	--	--	--	--	--
