TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	loc4	ref4	obj4	ctg4	ang4	loc5	ref5	obj5	ctg5	ang5	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	late_responses_2	stimulus_2_onset	stimulus_2_offset	late_responses_3	stimulus_3_onset	stimulus_3_offset	late_responses_4	stimulus_4_onset	stimulus_4_offset
1	1	2	1	0	0	1	6	3	1	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1113100000.0	1.0	0.0	[]	3.0091646	4.4874277	[]	6.226349	7.7170744	[]	11.196337	12.688464	[]	16.167143	17.658684	[]	21.138271	22.62769
2	0	7	3	1	1	0	0	0	0	0	0	2	1	0	0	0	5	2	1	1	0	7	3	1	1	300010203.0	1.0	1.0	[]	27.354969	28.85124	[]	30.588076	32.077057	[]	35.556667	37.05095	[]	40.5295	42.01754	[]	45.497086	46.98764
3	1	0	2	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1201101110.0	1.0	2.0	[]	51.717136	53.207443	[]	54.946358	56.437546	[]	59.916588	61.409355	[]	64.88725	66.377235	[]	69.856415	71.34717
4	0	1	0	0	1	0	1	0	0	1	0	7	3	1	1	0	5	2	1	1	1	2	1	0	0	30211.0	1.0	3.0	[]	76.0739	77.56698	[]	79.30788	80.79756	[]	84.27617	85.7713	[]	89.24675	90.73751	[]	94.217674	95.707275
5	1	7	3	1	1	1	4	2	1	0	1	4	2	1	0	0	2	1	0	0	0	3	1	0	1	1312120101.0	1.0	4.0	[]	100.43387	101.927635	[]	103.666595	105.160835	[]	108.637764	110.12865	[]	113.60621	115.09715	[]	118.578064	120.06723
6	1	6	3	1	0	1	0	0	0	0	0	6	3	1	0	0	7	3	1	1	1	7	3	1	1	1310030313.0	1.0	5.0	[]	124.7944	126.28715	[]	128.0262	129.5221	[]	132.99702	134.48679	[]	137.96768	139.45743	[]	142.93925	144.42732
7	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	2	1	0	0	0	6	3	1	0	10000103.0	1.0	6.0	[]	149.15399	150.64777	[]	152.38692	153.88008	[]	157.35797	158.84923	[]	162.32712	163.81738	[]	167.29851	168.79219
8	0	2	1	0	0	0	2	1	0	0	0	5	2	1	1	1	3	1	0	1	0	4	2	1	0	101021102.0	1.0	7.0	[]	173.51453	175.0084	[]	176.7463	178.2453	[]	181.7166	183.20703	[]	186.68642	188.17705	[]	191.6937	193.1471
9	1	5	2	1	1	0	6	3	1	0	0	4	2	1	0	1	4	2	1	0	1	3	1	0	1	1203021211.0	1.0	8.0	[]	197.87393	199.36713	[]	201.10703	202.59726	[]	206.07811	207.56714	[]	211.0464	212.53711	[]	216.01668	217.5078
10	0	5	2	1	1	0	2	1	0	0	0	4	2	1	0	0	2	1	0	0	0	5	2	1	1	201020102.0	1.0	9.0	[]	222.23523	223.72757	[]	225.4663	226.96272	[]	230.44261	231.92758	[]	235.40706	236.898	[]	240.37967	241.87025
