TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	loc4	ref4	obj4	ctg4	ang4	loc5	ref5	obj5	ctg5	ang5	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	late_responses_2	stimulus_2_onset	stimulus_2_offset	late_responses_3	stimulus_3_onset	stimulus_3_offset	late_responses_4	stimulus_4_onset	stimulus_4_offset	response_2	response_2_time	all_responses_2	response_3	response_3_time	all_responses_3	response_4	response_4_time	all_responses_4
1	0	3	1	0	1	0	1	0	0	1	0	1	0	0	1	0	6	3	1	0	1	3	1	0	1	100000311.0	1.0	0.0	[]	2.9971013	4.4869413	[]	6.226393	7.71691	[]	9.4562435	10.947352	[]	14.4283285	15.918593	[]	19.396559	20.886875	--	--	--	--	--	--	--	--	--
2	0	0	0	0	0	0	0	0	0	0	1	4	2	1	0	0	0	0	0	0	1	1	0	0	1	120010.0	1.0	1.0	[]	25.613993	27.106796	[]	28.846237	30.337128	[]	32.076168	33.56723	[]	37.046566	38.536953	[]	42.01673	43.50744	3	33.31934	[['3', 33.31934024998918]]	2	39.062138	[['2', 39.06213645829121]]	3	43.100983	[['3', 43.100982500007376]]
3	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	1	0	2	1	0	102001012.0	1.0	2.0	[]	48.233936	49.72671	[]	51.466125	52.957188	[]	54.69667	56.18687	[]	59.665985	61.15704	[]	64.63629	66.129326	2	56.730743	[['2', 56.73074491665466]]	3	61.349396	[['3', 61.34939712501364]]	2	67.69907	[['2', 67.69907287502429]]
4	1	1	0	0	1	0	3	1	0	1	0	3	1	0	1	0	0	0	0	0	0	5	2	1	1	1001010002.0	1.0	3.0	[]	70.854004	72.34704	[]	74.08628	75.57683	[]	77.31596	78.80822	[]	82.286575	83.777145	[]	87.25673	88.74704	--	--	--	--	--	--	--	--	--
5	0	0	0	0	0	0	1	0	0	1	0	5	2	1	1	1	3	1	0	1	0	0	0	0	0	21100.0	1.0	4.0	[]	93.47358	94.96662	[]	96.706535	98.19741	[]	99.9364	101.42731	[]	104.906654	106.397705	[]	109.87667	111.36739	--	--	--	--	--	--	--	--	--
6	1	0	0	0	0	0	3	1	0	1	1	1	0	0	1	1	0	0	0	0	1	6	3	1	0	1001101013.0	1.0	5.0	[]	116.09398	117.58706	[]	119.32651	120.81663	[]	122.55635	124.0468	[]	127.528275	129.01723	[]	132.49591	133.98701	--	--	--	--	--	--	--	--	--
7	0	4	2	1	0	0	1	0	0	1	0	4	2	1	0	1	5	2	1	1	0	3	1	0	1	200021201.0	1.0	6.0	[]	138.71417	140.20674	[]	141.9462	143.43884	[]	145.17622	146.66742	[]	150.14641	151.63696	[]	155.12392	156.61128	--	--	--	--	--	--	--	--	--
8	1	6	3	1	0	0	3	1	0	1	0	2	1	0	0	1	2	1	0	0	1	0	0	0	0	1301011110.0	1.0	7.0	[]	161.33386	162.82759	[]	164.56616	166.05707	[]	167.79843	169.28737	[]	172.76643	174.25705	[]	177.73781	179.22742	--	--	--	--	--	--	--	--	--
9	0	6	3	1	0	0	2	1	0	0	0	5	2	1	1	0	5	2	1	1	0	6	3	1	0	301020203.0	1.0	8.0	[]	183.95537	185.4527	[]	187.18753	188.6774	[]	190.41649	191.90726	[]	195.3869	196.87709	[]	200.35646	201.84732	--	--	--	--	--	--	--	--	--
10	1	2	1	0	0	0	3	1	0	1	1	5	2	1	1	1	6	3	1	0	0	1	0	0	1	1101121300.0	1.0	9.0	[]	206.57336	208.06761	[]	209.80682	211.29732	[]	213.03697	214.52711	[]	218.00972	219.49731	[]	222.97745	224.46765	--	--	--	--	--	--	--	--	--
