TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	loc4	ref4	obj4	ctg4	ang4	loc5	ref5	obj5	ctg5	ang5	tc	ran	order	late_responses_0	stimulus_0_onset
1	1	3	1	0	1	0	3	1	0	1	0	4	2	1	0	1	7	3	1	1	0	7	3	1	1	1101021303.0	1.0	0.0	[]	2.9943814
2	1	4	2	1	0	0	6	3	1	0	1	6	3	1	0	0	5	2	1	1	1	3	1	0	1	1203130211.0	0.0	--	--	--
3	0	0	0	0	0	0	4	2	1	0	1	3	1	0	1	0	1	0	0	1	0	1	0	0	1	2110000.0	0.0	--	--	--
4	1	0	0	0	0	1	6	3	1	0	0	0	0	0	0	1	0	0	0	0	0	7	3	1	1	1013001003.0	0.0	--	--	--
5	0	7	3	1	1	1	6	3	1	0	1	5	2	1	1	0	7	3	1	1	0	7	3	1	1	313120303.0	0.0	--	--	--
6	0	6	3	1	0	1	4	2	1	0	0	5	2	1	1	0	6	3	1	0	0	6	3	1	0	312020303.0	0.0	--	--	--
7	1	6	3	1	0	1	0	0	0	0	1	7	3	1	1	1	2	1	0	0	0	6	3	1	0	1310131103.0	0.0	--	--	--
8	0	6	3	1	0	0	3	1	0	1	0	1	0	0	1	1	2	1	0	0	1	0	0	0	0	301001110.0	0.0	--	--	--
9	0	6	3	1	0	1	7	3	1	1	1	3	1	0	1	1	1	0	0	1	0	6	3	1	0	313111003.0	0.0	--	--	--
10	0	3	1	0	1	0	0	0	0	0	1	5	2	1	1	0	3	1	0	1	0	4	2	1	0	100120102.0	0.0	--	--	--
