TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	loc4	ref4	obj4	ctg4	ang4	loc5	ref5	obj5	ctg5	ang5	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	late_responses_2	stimulus_2_onset	stimulus_2_offset	late_responses_3	stimulus_3_onset	stimulus_3_offset	late_responses_4	stimulus_4_onset	stimulus_4_offset
1	1	3	1	0	1	0	3	1	0	1	0	2	1	0	0	0	3	1	0	1	1	0	0	0	0	1101010110.0	1.0	0.0	[]	2.994154	4.486749	[]	6.2230735	7.7165027	[]	9.453433	10.94575	[]	14.425573	15.918696	[]	19.398405	20.884478
2	0	0	0	0	0	0	3	1	0	1	0	7	3	1	1	0	2	1	0	0	1	6	3	1	0	1030113.0	1.0	1.0	[]	25.614681	27.107685	[]	28.844015	30.337109	[]	32.074062	33.566605	[]	37.04642	38.539387	[]	42.0193	43.50533
3	0	7	3	1	1	0	4	2	1	0	1	6	3	1	0	0	5	2	1	1	0	0	0	0	0	302130200.0	1.0	2.0	[]	48.235077	49.72829	[]	51.464443	52.957603	[]	54.69448	56.187214	[]	59.66697	61.15317	[]	64.633156	66.126076
4	0	3	1	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	1	4	2	1	0	100000012.0	1.0	3.0	[]	70.85576	72.348694	[]	74.08508	75.578354	[]	77.315125	78.80817	[]	82.28778	83.77409	[]	87.25386	88.74673
5	0	1	0	0	1	1	0	0	0	0	1	5	2	1	1	0	5	2	1	1	1	2	1	0	0	10120211.0	1.0	4.0	[]	93.4765	94.9694	[]	96.705795	98.19904	[]	99.935555	101.428795	[]	104.90829	106.39443	[]	109.874435	111.36715
6	1	1	0	0	1	0	3	1	0	1	1	7	3	1	1	1	4	2	1	0	0	6	3	1	0	1001131203.0	1.0	5.0	[]	116.097305	117.5831	[]	119.32725	120.81256	[]	122.55633	124.04915	[]	127.528885	129.0151	[]	132.49513	133.98792
7	0	3	1	0	1	1	6	3	1	0	1	7	3	1	1	1	7	3	1	1	1	0	0	0	0	113131310.0	1.0	6.0	[]	138.71805	140.20378	[]	141.94771	143.43336	[]	145.18382	146.66283	[]	150.15009	151.63579	[]	155.11548	156.60878
8	1	6	3	1	0	0	7	3	1	1	0	3	1	0	1	0	1	0	0	1	1	7	3	1	1	1303010013.0	1.0	7.0	[]	161.33871	162.82457	[]	164.56804	166.0542	[]	167.79791	169.2839	[]	172.76363	174.2565	[]	177.73642	179.22923
9	1	6	3	1	0	0	0	0	0	0	1	4	2	1	0	1	5	2	1	1	1	7	3	1	1	1300121213.0	1.0	8.0	[]	183.95949	185.44562	[]	187.18895	188.67519	[]	190.41847	191.90428	[]	195.38414	196.87723	[]	200.35686	201.84291
10	0	2	1	0	0	1	2	1	0	0	1	7	3	1	1	0	2	1	0	0	1	6	3	1	0	111130113.0	1.0	9.0	[]	206.57289	208.06595	[]	209.80927	211.29541	[]	213.0391	214.525	[]	218.005	219.49783	[]	222.9779	224.46362
