TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	loc4	ref4	obj4	ctg4	ang4	loc5	ref5	obj5	ctg5	ang5	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2	late_responses_3	stimulus_3_onset	stimulus_3_offset	late_responses_4	stimulus_4_onset	stimulus_4_offset
1	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	6	3	1	0	1	2	1	0	0	100000311.0	1.0	0.0	[]	2.993786	4.486863	[]	6.2237897	7.716121	[]	9.45956	10.945605	2	10.54752	[['2', 10.547519300016575]]	[]	14.425796	15.918537	[]	19.398573	20.884676
2	0	0	0	0	0	0	0	0	0	0	1	4	2	1	0	0	0	0	0	0	1	0	0	0	0	120010.0	1.0	1.0	[]	25.615145	27.107834	[]	28.843801	30.336891	[]	32.0734	33.566685	--	--	--	[]	37.046688	38.5393	[]	42.020058	43.50542
3	0	3	1	0	1	0	4	2	1	0	0	1	0	0	1	1	0	0	0	0	1	5	2	1	1	102001012.0	1.0	2.0	[]	48.236088	49.728027	[]	51.464745	52.958115	[]	54.69421	56.18723	--	--	--	[]	59.667076	61.15296	[]	64.63289	66.12638
4	1	1	0	0	1	0	2	1	0	0	0	3	1	0	1	0	1	0	0	1	0	5	2	1	1	1001010002.0	1.0	3.0	[]	70.85575	72.348755	[]	74.08535	75.57847	[]	77.3156	78.81503	--	--	--	[]	82.287766	83.77379	[]	87.253456	88.7471
5	0	1	0	0	1	0	1	0	0	1	0	5	2	1	1	1	3	1	0	1	0	0	0	0	0	21100.0	1.0	4.0	[]	93.47646	94.96948	[]	96.705925	98.19918	[]	99.93566	101.42853	--	--	--	[]	104.908516	106.3945	[]	109.87432	111.36758
6	1	0	0	0	0	0	2	1	0	0	1	1	0	0	1	1	0	0	0	0	1	6	3	1	0	1001101013.0	1.0	5.0	[]	116.09732	117.58322	[]	119.32656	120.81272	[]	122.55658	124.049515	--	--	--	[]	127.529	129.01534	[]	132.49525	133.98804
7	0	5	2	1	1	0	0	0	0	0	0	5	2	1	1	1	5	2	1	1	0	2	1	0	0	200021201.0	1.0	6.0	[]	138.71861	140.20395	[]	141.9481	143.43378	[]	145.1769	146.66307	--	--	--	[]	150.14336	151.63644	[]	155.11623	156.6086
8	1	7	3	1	1	0	3	1	0	1	0	3	1	0	1	1	3	1	0	1	1	0	0	0	0	1301011110.0	1.0	7.0	[]	161.33916	162.82513	[]	164.56825	166.0542	[]	167.7977	169.28397	--	--	--	[]	172.76404	174.25676	[]	177.73628	179.22981
9	0	6	3	1	0	0	2	1	0	0	0	5	2	1	1	0	4	2	1	0	0	7	3	1	1	301020203.0	1.0	8.0	[]	183.95995	185.44595	[]	187.18887	188.67574	[]	190.41914	191.90492	--	--	--	[]	195.38506	196.87744	[]	200.35695	--
10	1	2	1	0	0	0	2	1	0	0	1	4	2	1	0	1	7	3	1	1	0	1	0	0	1	1101121300.0	0.0	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
