TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	tc	ran	order	late_responses_0	stimulus_0_onset
1	0	4	2	1	0	0	5	2	1	1	202.0	1.0	0.0	[]	2.9943192
2	1	0	0	0	0	1	2	1	0	0	1011.0	0.0	--	--	--
3	1	3	1	0	1	1	4	2	1	0	1112.0	0.0	--	--	--
4	1	6	3	1	0	1	1	0	0	1	1310.0	0.0	--	--	--
5	1	3	1	0	1	1	2	1	0	0	1111.0	0.0	--	--	--
6	1	3	1	0	1	1	0	0	0	0	1110.0	0.0	--	--	--
7	1	7	3	1	1	1	2	1	0	0	1311.0	0.0	--	--	--
8	1	3	1	0	1	0	3	1	0	1	1101.0	0.0	--	--	--
9	1	0	0	0	0	1	4	2	1	0	1012.0	0.0	--	--	--
10	1	2	1	0	0	0	1	0	0	1	1100.0	0.0	--	--	--
11	0	4	2	1	0	0	3	1	0	1	201.0	0.0	--	--	--
